name,of,df,ex,ld,salary,teamAbbr
Dave Hakstol,76,77,74,74,700000,ANA
D.J. Smith,71,71,70,71,400000,WPG
Craig Berube,73,72,76,76,1000000,BOS
Dave Cameron,76,75,77,77,1500000,BUF
Ken Hitchcock,84,84,88,85,2950000,CGY
Michel Therrien,80,82,81,81,800000,CAR
Barry Trotz,84,84,86,85,5000000,CHI
Lindy Ruff,84,79,86,84,5000000,COL
Dave Tippett,78,79,82,81,1500000,DAL
Peter Deboer,80,80,79,80,900000,DET
Bruce Boudreau,83,82,82,82,2000000,EDM
Paul Maurice,79,78,81,81,800000,FLA
Patrick Roy,76,74,78,78,800000,LA
Dan Bylsma,79,78,79,79,1200000,MTL
Jeff Blashill,75,75,74,74,900000,NAS
Jon Cooper,82,81,80,82,3000000,NJ
Mike Babcock,82,82,85,85,2500000,NYI
Claude Julien,80,81,84,83,2600000,NYR
Peter Laviolette,81,81,82,81,1800000,OTT
Bob Hartley,76,74,80,80,1250000,PHI
Todd Richards,75,75,78,78,1100000,PHO
Mike Johnston,75,75,77,77,600000,PIT
Joel Quenneville,85,84,86,85,2150000,STL
John Tortorella,78,78,82,81,600000,SJ
Todd Mclellan,79,77,80,78,1200000,TB
Randy Carlyle,76,76,80,80,1000000,TOR
Jack Capuano,80,79,79,79,1800000,VAN
Daryl Sutter,81,83,85,85,2550000,WAS
Alain Vigneualt,81,82,83,82,2300000,CBJ
Mike Yeo,77,77,79,79,600000,MIN
Adam Oates,75,76,77,77,1250000,
Claude Noel,75,75,77,77,300000,
Dallas Eakins,74,74,74,74,200000,
Glen Gulutzan,75,75,76,75,800000,
Guy Boucher,74,76,76,76,2500000,
Joe Sacco,75,75,76,76,900000,
Kirk Muller,76,75,76,76,1000000,
Paul MacLean,76,77,78,78,600000,
Ralph Krueger,75,74,75,75,700000,
Ron Rolston,74,74,74,74,800000,
Ted Nolan,75,75,77,77,500000,
Peter Horachek,73,73,74,74,800000,
Scott Stevens,75,76,75,75,400000,
Bill Peters,75,76,76,76,400000,
Todd Nelson,76,75,75,75,400000,
Gerard Gallant,78,77,77,77,400000,
Mike Sullivan,79,79,77,78,400000,
Jared Bednar,73,73,73,73,400000,
Tom Rowe,73,73,73,73,400000,
John Hynes,75,75,75,74,400000,
Willie Desjardins,75,75,75,75,400000,
