name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,teamName
Brady Skjei,D,L,75,206,22,65,71,72,75,76,74,77,72,70,70,68,29,27,950000,4,USA,Anaheim
Brett Pesce,D,R,75,200,22,65,71,72,76,76,74,77,72,70,70,68,29,27,975000,4,USA,Anaheim
Henrik Samuelsson,C,R,75,210,22,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,USA,Anaheim
Jake Guentzel,C,L,70,175,22,64,70,70,74,73,70,76,69,69,66,69,27,25,825000,4,USA,Anaheim
Ryan Hartman,RW,R,70,190,23,66,70,72,75,75,75,77,70,70,67,70,27,25,600000,4,USA,Anaheim
Stefan Matteau,F,L,74,220,22,64,67,70,74,73,70,76,69,69,66,69,26,25,750000,4,USA,Anaheim
Teuvo Teravainen,C,L,71,178,22,65,72,70,76,75,76,78,71,70,70,72,29,27,950000,4,FIN,Anaheim
Tyler Lewington,D,R,73,197,22,63,67,69,74,73,70,70,64,66,66,64,25,25,600000,4,CAN,Anaheim
Valeri Vasiliev,D,L,73,203,22,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,RUS,Anaheim
Esa Lindell,D,L,75,210,22,65,70,71,74,76,69,76,70,69,69,68,29,27,925000,4,FIN,Buffalo
Daniel Pribyl,F,R,74,189,24,64,66,68,74,73,74,71,64,65,64,66,25,25,600000,4,CZE,Calgary
Austin Carroll,LW,R,75,214,22,64,66,68,74,73,74,71,64,65,64,66,25,25,600000,4,USA,Carolina
Dominik Simon,C,R,71,175,22,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,CZE,Carolina
Dylan Larkin,C,L,73,190,20,66,72,70,76,75,75,77,71,72,70,73,35,27,1150000,4,USA,Carolina
Elvis Merzlikins,G,L,74,183,22,69,74,70,74,75,78,81,75,75,NA,NA,25,25,600000,4,LAT,Carolina
Frank Vatrano,C,L,70,216,22,64,70,70,76,73,70,76,69,69,66,69,27,25,825000,4,USA,Carolina
Liam Coughlin,F,L,75,201,22,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,Carolina
Mackenzie MacEachern,LW,L,74,192,22,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,USA,Carolina
Martin Reway,LW,L,69,173,21,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,CZE,Carolina
Ryan Pulock,D,L,75,192,22,63,67,69,73,73,70,70,64,66,66,64,25,25,650000,4,CAN,Carolina
Ville Husso,G,L,73,182,21,69,74,70,73,75,78,81,75,75,NA,NA,25,25,600000,4,FIN,Carolina
Cal Petersen,G,R,73,182,22,69,74,70,75,75,78,81,75,75,NA,NA,25,25,600000,4,USA,Colorado
Christian Djoos,D,L,72,162,22,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,SWE,Colorado
Cole Bardreau,F,R,70,193,23,64,66,68,73,73,74,71,64,65,64,66,25,25,600000,4,USA,Colorado
Jake Dotchin,D,R,75,212,22,61,69,67,73,72,71,71,64,67,67,63,25,25,600000,4,CAN,Colorado
Jon Gillies,G,L,78,225,22,68,75,71,74,75,78,81,75,74,NA,NA,25,25,600000,4,USA,Colorado
Matteson Iacopelli,F,L,74,192,22,64,66,68,76,73,74,71,64,65,64,66,25,25,600000,4,USA,Colorado
Nick Ellis,G,L,73,180,22,69,74,70,73,75,78,81,75,75,NA,NA,25,25,600000,4,USA,Colorado
Ville Pokka,D,R,72,200,22,63,67,69,73,73,70,70,64,66,66,64,25,25,600000,4,FIN,Colorado
Christoph Bertschy,C,R,70,175,22,63,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,SUI,Columbus
Ryan Rupert,C,L,69,190,22,58,67,69,73,73,70,70,64,66,64,66,25,25,600000,4,CAN,Columbus
