name,of,df,ex,ld,salary,teamAbbr
Adam Oates,75,76,77,77,1250000,
Alain Vigneualt,79,78,83,80,2300000,CBJ
Barry Trotz,83,83,88,84,5000000,CHI
Bill Peters,75,76,76,76,400000,
Bob Boughner,76,75,74,74,400000,
Bob Hartley,74,74,78,78,1250000,PHI
Bruce Boudreau,83,82,82,82,2000000,EDM
Bruce Cassidy,78,77,74,74,400000,
Claude Julien,79,79,84,82,2600000,NYR
Claude Noel,75,75,77,77,400000,
D.J. Smith,71,71,70,71,400000,WPG
Dallas Eakins,72,72,72,72,750000,DET
Dan Bylsma,78,78,79,78,1500000,STL
Daryl Sutter,81,83,85,85,2550000,WAS
Dave Cameron,75,74,77,75,1500000,BUF
Dave Hakstol,78,77,77,77,700000,ANA
Dave Tippett,77,77,82,79,1500000,DAL
Gerard Gallant,79,79,78,79,750000,MTL
Glen Gulutzan,75,75,76,75,800000,
Guy Boucher,75,76,76,76,1000000,BOS
Jack Capuano,77,78,80,80,1800000,VAN
Jared Bednar,73,73,73,73,400000,
Jeff Blashill,75,75,74,74,900000,
Joe Sacco,75,75,76,76,900000,
Joel Quenneville,84,84,86,85,2150000,PHO
John Hynes,77,77,77,77,400000,
John Stevens,70,70,70,70,400000,
John Tortorella,79,78,82,81,600000,SJ
Jon Cooper,82,81,80,83,3000000,NJ
Ken Hitchcock,84,84,88,85,2950000,CGY
Kirk Muller,76,75,76,76,1000000,
Lindy Ruff,79,78,86,82,5000000,COL
Michel Therrien,78,77,81,80,800000,CAR
Mike Babcock,82,82,85,86,2500000,NYI
Mike Johnston,75,75,77,77,600000,
Mike Sullivan,81,79,79,79,400000,MIN
Mike Yeo,77,77,79,78,600000,NAS
Patrick Roy,74,73,73,73,950000,LA
Paul MacLean,76,77,78,78,600000,
Paul Maurice,80,79,81,82,900000,FLA
Peter DeBoer,80,80,79,80,2400000,PIT
Peter Horachek,73,73,74,74,800000,
Peter Laviolette,82,82,82,82,1800000,OTT
Ralph Krueger,75,74,75,75,700000,
Randy Carlyle,77,77,80,80,1000000,TOR
Rod Brind'Amour,70,70,70,70,400000,
Ron Rolston,74,74,74,74,800000,
Scott Stevens,77,76,74,74,400000,
Ted Nolan,75,75,77,77,500000,
Todd Mclellan,78,76,80,78,1200000,TB
Todd Nelson,76,75,75,75,400000,
Todd Richards,75,75,78,78,1100000,
Tom Rowe,73,73,73,73,400000,
Willie Desjardins,75,75,75,75,400000,
