name,of,df,ex,ld,salary,teamAbbr
Jon Cooper,90,87,78,83,4000000,NJ
Mike Babcock,89,81,87,96,6000000,DAL
Peter DeBoer,89,73,81,86,2400000,PIT
Bill Peters,87,82,75,75,3750000,EDM
Mike Sullivan,86,74,78,81,2500000,MIN
Todd Reirden,85,71,66,66,400000,
Joel Quenneville,84,60,90,99,2150000,PHO
Jeremy Colliton,84,60,66,66,400000,
Paul Maurice,83,78,90,99,900000,FLA
Jared Bednar,82,72,69,70,400000,
Bob Boughner,81,64,69,69,400000,
John Tortorella,80,77,84,91,600000,SJ
Claude Julien,79,76,84,91,2600000,NYR
Peter Laviolette,78,85,84,91,1800000,OTT
Gerard Gallant,77,80,78,81,900000,MTL
Dave Hakstol,76,65,72,75,700000,ANA
Scott Gordon,76,66,69,69,400000,
Rod Brind'Amour,75,86,66,66,400000,CGY
Bruce Cassidy,74,89,72,75,1500000,CAR
Mark Crawford,73,61,84,89,400000,
Guy Boucher,73,61,75,78,1000000,BOS
John Hynes,72,62,75,76,600000,TB
David Quinn,71,67,66,66,400000,
Phil Housley,70,70,69,69,400000,
Mike Yeo,69,84,78,81,600000,NAS
Carig Berube,69,84,69,70,400000,
Barry Trotz,68,90,90,97,5000000,CHI
Ken Hitchcock,67,68,90,99,400000,
Todd McLellan,67,67,81,86,900000,WAS
Bruce Boudreau,66,79,81,86,2000000,LA
Travis Green,65,73,69,69,400000,
Jeff Blashill,64,63,75,76,900000,
Rick Tocchet,63,83,72,72,500000,STL
Jim Montgomery,62,89,66,66,400000,
John Stevens,61,69,75,78,400000,
Willie Desjardins,61,69,72,73,400000,
Randy Carlyle,60,75,81,86,1000000,
Bob Murray,60,76,63,63,400000,
Dave Tippett,59,59,84,92,750000,TOR
Michel Therrien,59,59,81,94,800000,
Alain Vigneualt,59,59,84,91,2300000,CBJ
Dan Bylsma,59,59,78,83,1500000,
Jack Capuano,59,59,78,81,750000,VAN
Paul MacLean,59,59,69,72,1000000,PHI
Dave Cameron,59,59,69,70,1500000,BUF
Carsten Norgaard,59,59,69,70,450000,NYI
Lindy Ruff,59,59,66,66,5000000,COL
Dallas Eakins,59,59,66,66,750000,DET
Doug Weight,59,59,66,66,400000,
D.J. Smith,59,59,60,60,400000,WPG
