name,of,df,ex,ld,salary,teamAbbr
Alain Nasreddine,70,71,66,62,400000,NYI
Alain Vigneault,84,83,87,81,2300000,CBJ
Barry Trotz,81,92,86,80,5000000,CHI
Bill Peters,86,85,83,77,3750000,EDM
Bob Boughner,84,81,74,69,400000,
Bruce Boudreau,80,83,98,91,2000000,LA
Bruce Cassidy,88,94,81,76,1500000,CAR
Claude Julien,85,86,89,83,2600000,NYR
Craig Berube,86,92,81,76,500000,NAS
D.J. Smith,79,80,63,59,400000,WPG
Dallas Eakins,71,77,80,74,750000,DET
Dave Tippett,79,79,87,81,800000,TOR
David Quinn,86,82,80,74,1000000,BOS
Dean Evason,73,75,83,77,500000,PHI
Geoff Ward,83,84,87,81,1000000,MTL
Gerard Gallant,85,87,86,80,900000,
Jared Bednar,90,88,72,67,1500000,BUF
Jeff Blashill,79,78,69,64,900000,
Jeremy Colliton,87,80,55,55,400000,
Jim Montgomery,75,91,75,70,400000,
Joel Quenneville,87,76,92,85,2150000,PHO
John Hynes,82,81,68,63,600000,TB
John Tortorella,82,90,92,85,600000,SJ
Jon Cooper,94,90,78,73,4000000,NJ
Mike Sullivan,90,87,78,73,2500000,MIN
Paul Maurice,88,87,80,74,1300000,FLA
Peter DeBoer,88,83,77,71,2400000,PIT
Peter Laviolette,82,86,83,77,1800000,OTT
Ralph Krueger,81,83,90,84,3000000,COL
Rick Bowness,78,93,98,91,750000,ANA
Rick Tocchet,83,92,84,78,500000,STL
Rod Brind'Amour,86,90,74,69,400000,CGY
Sheldon Keefe,81,72,59,55,500000,DAL
Todd McLellan,77,81,78,73,900000,
Todd Reirden,92,85,72,67,1500000,WAS
Travis Green,85,84,74,69,900000,VAN
