name,teamName,salary,contractLength
Steven Stamkos,New Jersey,5750000,3
Semyon Varlamov,St. Louis,4000000,2
Tyler Toffoli,St. Louis,3000000,4
Braden Holtby,Columbus,6000000,2
Frank Vatrano,St. Louis,1500000,4
Jared McCann,St. Louis,1500000,4
Miles Wood,St. Louis,1250000,4
Nino Neiderreiter,Pittsburgh,3500000,3
Dmitry Orlov,Pittsburgh,3500000,3
Adam Pelech,Pittsburgh,2000000,3
Ryan Pulock,Pittsburgh,3250000,3
Nicklas Backstrom,Rangers,4000000,2
Patrice Bergeron,Rangers,4750000,2
Jonathan Huberdeau,Rangers,4250000,3
David Pastrnak,Rangers,3500000,2
Rasmus Ristolainen,Rangers,2000000,1
Andreas Athanasiou,Rangers,1500000,1
Devin Shore,Rangers,1000000,3
Jujhar Khaira,Rangers,925000,3
Jacob Trouba,New Jersey,4000000,3
Sidney Crosby,Chicago,5500000,2
Ryan O'Reilly,Dallas,4500000,3
Milan Lucic,Dallas,2000000,3
Shea Weber,Dallas,5000000,2
Leon Draisaitl,Florida,5000000,3
David Perron,Florida,3850000,3
Zach Werenski,Tampa,3500000,2
Chris Kreider,Tampa,4000000,1
Kyle Palmieri,Winnipeg,4000000,2
Scott Laughton,Winnipeg,2000000,3
Alec Martinez,Winnipeg,4000000,2
Sam Reinhart,Winnipeg,5000000,4
Jacob De La Rose,Winnipeg,850000,4
Max Pacioretty,Carolina,3800000,3
Jake Muzzin,Carolina,3250000,3
Dylan Larkin,Carolina,3500000,3
Elvis Merzlikins,Carolina,1000000,3
Anze Kopitar,Carolina,4200000,2
Jack Eichel,Carolina,4670000,4
Mackenzie MacEachern,Carolina,650000,5
Ville Husso,Carolina,600000,5
Alexander Radulov,Chicago,3500000,2
Calvin De Haan,Pittsburgh,4000000,2
Matt Murray,Pittsburgh,3250000,2
Brad Marchand,Edmonton,5500000,3
Nikolaj Ehlers,Edmonton,2300000,4
Pekka Rinne,Chicago,4000000,1
Mike Hoffman,Edmonton,2900000,2
Anthony Mantha,Edmonton,2100000,3
Joe Pavelski,New Jersey,1900000,1
Josh Manson,Columbus,2250000,2
Connor McDavid,Edmonton,4800000,2
Evgeni Malkin,Anaheim,4600000,2
Patrick Kane,Anaheim,4800000,2
Anthony Duclair,Boston,2250000,4
Joonas Korpisalo,Boston,2000000,4
P.E Bellemare,Boston,1000000,2
Marco Scandella,Boston,2500000,5
Jamie Oleksiak,Boston,1250000,2
Mark Stone,Toronto,4500000,2
Scott Wedgewood,Toronto,700000,2
Zachary Aston-Reese,Montreal,1000000,4
Frederik Gauthier,Montreal,1000000,4
Joseph Blandisi,Montreal,800000,4
William Carrier,Montreal,1000000,4
Nick Bonino,Montreal,2500000,2
Duncan Keith,Edmonton,2000000,1
Erik Johnson,Anaheim,2800000,2
Ondrej Palat,Washington,2600000,2
Andrei Vasilevskiy,Washington,5000000,3
Erik Karlsson,Washington,4800000,2
Marc-Andre Fleury,Ottawa,7000000,2
Jonathan Toews,Ottawa,6000000,1
Devon Toews,Washington,1200000,4
"Cristoval ""Boo"" Nieves",Vancouver,600000,4
Brett Kulak,Vancouver,850000,5
Noel Acciari,Vancouver,900000,5
Vinnie Hinostroza,Vancouver,1100000,5
Stanislav Galiev,Vancouver,600000,5
Jon Gillies,Colorado,600000,4
Cal Petersen,Colorado,600000,4
Christian Djoos,Colorado,750000,4
Ryan Graves,Colorado,750000,4
Dominik Simon,Colorado,850000,4
Robert Hagg,Colorado,1250000,4
Torey Krug,Nashville,4500000,3
Connor Hellebuyck,Nashville,5000000,3
Jordan Eberle,Nashville,3000000,1
Niklas Hjalmarsson,Nashville,2000000,1
Damon Severson,Nashville,2000000,2
Jaccob Slavin,San Jose,3000000,3
Dougie Hamilton,San Jose,4500000,3
Tomas Tatar,San Jose,3000000,2
Max Domi,San Jose,3000000,3
Mark Scheifele,Minnesota,4830000,3
Logan Couture,Minnesota,3500000,3
T.J. Brodie,Minnesota,2600000,2
Zemgus Girgensons,Minnesota,1000000,2
