teamName,newCash
Anaheim,18829667
Boston,3296072
Buffalo,18264211
Calgary,4201764
Carolina,5820047
Chicago,3561425
Colorado,19119234
Columbus,31130330
Dallas,-619757
Detroit,2982171
Edmonton,2431622
Florida,9074379
LosAngeles,12000000
Minnesota,38578005
Montreal,16519165
Nashville,9439537
New Jersey,146898
Islanders,-2750000
Rangers,8854699
Ottawa,3606501
Philly,0
Phoenix,8000000
Pittsburgh,10951323
St. Louis,8027243
San Jose,16293425
Tampa Bay,2897214
Toronto,4389945
Vancouver,15907698
Washington,18946418
Winnipeg,11250000
