teamName,newCash
Anaheim,38068691
Winnipeg,5913204
Boston,2204767
Buffalo,13000000
Calgary,41992014
Carolina,-1416814
Chicago,30172564
Colorado,647082
Dallas,13000000
Detroit,23556462
Edmonton,-8284967
Florida,729577
LosAngeles,5000000
Montreal,1056211
Nashville,3184186
New Jersey,-19793500
Islanders,14849257
Rangers,16038378
Ottawa,8792824
Philly,13570567
Phoenix,13000000
Pittsburgh,7028885
St. Louis,7188397
San Jose,-19632333
Tampa Bay,2607481
Toronto,112111
Vancouver,3153708
Washington,40183754
Columbus,20006388
Minnesota,6924344
