teamName,newCash
Anaheim,30329667
Boston,9296072
Buffalo,16264211
Calgary,11001765
Carolina,9320047
Chicago,11061425
Colorado,26169234
Columbus,30330330
Dallas,-22119757
Detroit,30982171
Edmonton,2048378
Florida,2074379
LosAngeles,-7000000
Minnesota,36578005
Montreal,30319165
Nashville,7439537
New Jersey,-7553103
Islanders,-4750000
Rangers,12804699
Ottawa,13606501
Philly,-3500000
Phoenix,11000000
Pittsburgh,8951323
St. Louis,-4456575
San Jose,20527244
Tampa Bay,3897214
Toronto,3689945
Vancouver,27157698
Washington,43746418
Winnipeg,10000000
