Team,ProspectName
Anaheim,Aaron Haydon
Anaheim,Alec Regula
Anaheim,Alex Kannok-Leipert
Anaheim,Brayden Chizen
Anaheim,Filip Ahl
Anaheim,Gabriel Fontaine
Anaheim,Jordan Sambrook
Anaheim,Justin Sourdif
Anaheim,Karel Plasek
Anaheim,Kristoffer Gunnarsson
Anaheim,Logan Cockerill
Anaheim,Marc McNulty
Anaheim,Marcus Karlberg
Anaheim,Marcus Vela
Anaheim,Mason Millman
Anaheim,Matt Ustaski
Anaheim,Maxim Cajkovic
Anaheim,Nicklaus Perbix
Anaheim,Patrik Siikanen
Anaheim,Ronan Seeley
Anaheim,Rory Kerins
Anaheim,Ryder Rolston
Anaheim,Sasha Mutala
Anaheim,Sean Day
Anaheim,Vadim Zherenko
Anaheim,Wyatte Wylie
Boston,Alex Dostie
Boston,Andre Lee
Boston,Andrew Fritsch
Boston,Avery Peterson
Boston,Ben Betker
Boston,Brendan O'Donnell
Boston,Brent Pedersen
Boston,Brett Davis
Boston,Cam York
Boston,Chris Wilkie
Boston,Christopher Brown
Boston,Daniel Bernhardt
Boston,Dylan Ferguson
Boston,Eric Neilson
Boston,Gilles Senn
Boston,Isaac Ratcliffe
Boston,Jack Walker
Boston,Jordan Morrison
Boston,Lucas Feuk
Boston,Magnus Chrona
Boston,Marek Langhamer
Boston,Martin Has
Boston,Mitchell Miller
Boston,Nicholas Capone
Boston,Nick Walters
Boston,Olle Lycksell
Boston,P.J. Fenton
Boston,Patrick Daly
Boston,Paul Cotter
Boston,Pius Suter
Boston,Riley Bruce
Boston,Stepan Falkovsky
Boston,Travis Brown
Boston,Trevor Janicke
Boston,Viktor Persson
Boston,Xavier Bouchard
Boston,Yan-Pavel Laplante
Buffalo,Adam Musil
Buffalo,Albin Eriksson
Buffalo,Alex Formenton
Buffalo,Anton Lundell
Buffalo,Artur Kayumov
Buffalo,Austin Poganski
Buffalo,Axel Jonsson-Fjallby
Buffalo,Brayden Tracey
Buffalo,Calle Clang
Buffalo,Chase Pearson
Buffalo,Chris Calnan
Buffalo,Connor McMichael
Buffalo,Curtis Douglas
Buffalo,Daniel Ljungman
Buffalo,David Drake
Buffalo,David Pope
Buffalo,Denis Bodrov
Buffalo,Derek Mathers
Buffalo,Dominik Bielke
Buffalo,Edgars Kulda
Buffalo,Evan Bouchard
Buffalo,Evgeny Svechnikov
Buffalo,Fabian Zetterlund
Buffalo,Francois Tremblay
Buffalo,Garrett Metcalf
Buffalo,Geoffrey Schemitsch
Buffalo,Hugo Alnefelt
Buffalo,Jack Dugan
Buffalo,Jack Finley
Buffalo,Jack LaFontaine
Buffalo,Jason Clark
Buffalo,Jean-Sebastien Berube
Buffalo,Joachim Nermark
Buffalo,Joe Masonius
Buffalo,Joel Blomqvist
Buffalo,Jonas Rondbjerg
Buffalo,Jonathan Iilahti
Buffalo,Joseph Palmer
Buffalo,Julian Melchiori
Buffalo,Kaiden Guhle
Buffalo,Keegan Kolesar
Buffalo,Klim Kostin
Buffalo,Kyle Schempp
Buffalo,Layton Ahac
Buffalo,Louis Crevier
Buffalo,Luke Evangelista
Buffalo,Luke Prokop
Buffalo,Mads Sogaard
Buffalo,Maksim Zhukov
Buffalo,Mason McDonald
Buffalo,Matt Marquardt
Buffalo,Matvey Guskov
Buffalo,Max Gordichuk
Buffalo,Mitch Gaulton
Buffalo,Morgan Barron
Buffalo,Nils Lundkvist
Buffalo,Peter Diliberatore
Buffalo,Richard Nedomlel
Buffalo,Riley Boychuk
Buffalo,Riley Stotts
Buffalo,Robin Salo
Buffalo,Ryan Johnson
Buffalo,Samuel Sjolund
Buffalo,Santeri Hatakka
Buffalo,Scott Walford
Buffalo,Sean Maguire
Buffalo,Stanislav Balan
Buffalo,Stuart Skinner
Buffalo,Taylor Stefishen
Buffalo,Todd Burgess
Buffalo,Tomas Zaborsky
Buffalo,Trevor Zegras
Buffalo,Troy Bourke
Buffalo,Ty Dellandrea
Buffalo,Ty Emberson
Buffalo,Ty Morris
Buffalo,Vaclav Karabacek
Buffalo,William Lockwood
Buffalo,Zach Tarkir
Buffalo,Zachary Uens
Calgary,Alex Green
Calgary,Andrew Peeke
Calgary,Artur Akhtyamov
Calgary,Bear Hughes
Calgary,Boris Katchouk
Calgary,Bowen Byram
Calgary,Brycen Martin
Calgary,Cameron Morrison
Calgary,Carter Berger
Calgary,Chris Martenet
Calgary,Clayton Phillips
Calgary,Connor Chatham
Calgary,Daniil Misyul
Calgary,Demetrios Koumontzis
Calgary,Dustyn McFaul
Calgary,Erik Portillo
Calgary,Filip Zadina
Calgary,Hendrix Lapierre
Calgary,Jack Badini
Calgary,Jack Malone
Calgary,Jack McBain
Calgary,Jake Oettinger
Calgary,Jesper Boqvist
Calgary,John Farinacci
Calgary,Jonny Tychonick
Calgary,Josh Brook
Calgary,Josh Norris
Calgary,Judd Caulfield
Calgary,Julien Gauthier
Calgary,Keven Bouchard
Calgary,Leon Gawanke
Calgary,Libor Hajek
Calgary,Linus Karlsson
Calgary,Linus Lindstrom
Calgary,Logan Brown
Calgary,Logan Hutsko
Calgary,Marco Rossi
Calgary,Mason Lohrei
Calgary,Mattias Samuelsson
Calgary,Michael Krutil
Calgary,Morgan Frost
Calgary,Noah Cates
Calgary,Oliver Tarnstrom
Calgary,Olivier Rodrigue
Calgary,Reilly Walsh
Calgary,Ridly Greig
Calgary,Riley Duran
Calgary,Roman Durny
Calgary,Ryan McGregor
Calgary,Sampo Ranta
Calgary,Samuel Bolduc
Calgary,Shane Eiserman
Calgary,Slava Demin
Calgary,Stelio Mattheos
Calgary,Steven Lorentz
Calgary,Urho Vaakanainen
Calgary,Wyatt Kaiser
Calgary,Zach Fischer
Carolina,Alexander Dergachyov
Carolina,Alexis Gravel
Carolina,Anton Johannesson
Carolina,Arnaud Durandeau
Carolina,Arseny Gritsyuk
Carolina,Arttu Ruotsalainen
Carolina,Ben McCartney
Carolina,Blake Lizotte
Carolina,Brennan Menell
Carolina,Brett Berard
Carolina,Casey DeSmith
Carolina,Chad Yetman
Carolina,Chandler Yakimowicz
Carolina,Christian Krygier
Carolina,Cole Fonstad
Carolina,Cole Fraser
Carolina,Cole Ully
Carolina,Collin Shirley
Carolina,Daemon Hunt
Carolina,Devon Levi
Carolina,Dylan Sadowy
Carolina,Dysin Mayo
Carolina,Elliot Desnoyers
Carolina,Eric Robinson
Carolina,Hunter Fejes
Carolina,Joel Kiviranta
Carolina,Joonas Oden
Carolina,Linus Oberg
Carolina,Luke Opilka
Carolina,Mackenzie Weegar
Carolina,Matt Buckles
Carolina,Mikhail Shalagin
Carolina,Mikko Lehtonen
Carolina,Nico Daws
Carolina,Nikolai Knyzhov
Carolina,Nikolas Brouillard
Carolina,Radim Simek
Carolina,Timur Ibragimov
Carolina,Tyson Baillie
Carolina,Wilhelm Westlund
Chicago,Adam Werner
Chicago,Andreas Soderberg
Chicago,Artem Zub
Chicago,Ashton Bernard
Chicago,Benjamin Casavant
Chicago,Brody Sutter
Chicago,C.J. Severyn
Chicago,Corbin McPherson
Chicago,David Bernhardt
Chicago,Elmer Soderblom
Chicago,Ethan Bowen
Chicago,Filip Barklund
Chicago,Filip Sveningsson
Chicago,Graeme Clarke
Chicago,Ivan Fedotov
Chicago,Jakub Dobes
Chicago,Jermaine Loewen
Chicago,Joakim Nygard
Chicago,Kenton Helgesen
Chicago,Mackenze Stewart
Chicago,Mark Goggin
Chicago,Mark Kastelic
Chicago,Matthew Phillips
Chicago,Maxim Denezhkin
Chicago,Maxime Gratchev
Chicago,Mike Kesselring
Chicago,Mirko Hoefflin
Chicago,Nick Halloran
Chicago,Olie Alsing
Chicago,Radovan Bondra
Chicago,Ryan Button
Chicago,Santeri Saari
Chicago,Scott Stajcer
Chicago,Sebastian Vidmar
Chicago,Taylor Ellington
Chicago,Toni Utunen
Chicago,Troy Josephs
Colorado,Aapeli Rasanen
Colorado,Aaron Huglen
Colorado,Albert Lyckasen
Colorado,Alexander Polunin
Colorado,Anatoly Golyshev
Colorado,Anthony Salinitri
Colorado,Arthur Kaliyev
Colorado,Blake Murray
Colorado,Bobby Brink
Colorado,Cameron Hughes
Colorado,Colin Blackwell
Colorado,Connor Corcoran
Colorado,Damien Riat
Colorado,David Quenneville
Colorado,Domenick Fensore
Colorado,Donovan Sebrango
Colorado,Erik Brannstrom
Colorado,Ethan Haider
Colorado,Ethan Phillips
Colorado,Filip Berglund
Colorado,Filip Larsson
Colorado,Garrett Pilon
Colorado,Igor Rykov
Colorado,Ivan Chekhovich
Colorado,Jack Ahcan
Colorado,Jack Smith
Colorado,Jackson Kunz
Colorado,Jacob Golden
Colorado,Kasper Bjorkqvist
Colorado,Kyle Copablanco
Colorado,Leevi Merilainen
Colorado,Liam Hawel
Colorado,Linus Cronholm
Colorado,Linus Sandin
Colorado,Lucas Carlsson
Colorado,Lucas Johansen
Colorado,Lucas Mercuri
Colorado,Lukas Svejkovsky
Colorado,Luke Stevens
Colorado,Markus Phillips
Colorado,Mason Shaw
Colorado,Matej Blumel
Colorado,Matthew Strome
Colorado,Matthew Villalta
Colorado,Max Lajoie
Colorado,Nicholas Caamano
Colorado,Noah Gregor
Colorado,Ostap Safin
Colorado,Patrick Moynihan
Colorado,Rhett Pitlick
Colorado,Roby Jarventie
Colorado,Ronnie Attard
Colorado,Ryder Donovan
Colorado,Samuel Knazko
Colorado,Sasha Chmelevski
Colorado,Ty Smilanic
Colorado,Tyler Benson
Colorado,Tyler Parsons
Colorado,Tyson Foerster
Colorado,Ukko-Pekka Luukkonen
Colorado,Vladimir Bobylev
Colorado,William Bitten
Colorado,William Worge-Kreu
Columbus,Adam Raska
Columbus,Alexis Pepin
Columbus,Alexis Vanier
Columbus,Alfons Malmstrom
Columbus,Anton Krysanov
Columbus,Braden Doyle
Columbus,Brady Austin
Columbus,Brandon Crawley
Columbus,Brandon Gignac
Columbus,Connor Bunnaman
Columbus,Conor Timmins
Columbus,David Broll
Columbus,Dmitry Zhukenov
Columbus,Doyle Somerby
Columbus,Dylan Garand
Columbus,Egor Afanasyev
Columbus,Erik Walli-Walterholm
Columbus,Ethan Keppen
Columbus,Jake Neighbours
Columbus,Jake Paterson
Columbus,Jake Schmaltz
Columbus,Jesper Vikman
Columbus,Jimmy Lodge
Columbus,Jordan Harris
Columbus,Liam Dunda
Columbus,Liam Kirk
Columbus,Louie Caporusso
Columbus,Luke Green
Columbus,Manuel Wiederer
Columbus,Marek Viedensky
Columbus,Matt Schmalz
Columbus,Matthew Thiessen
Columbus,Miska Kukkonen
Columbus,Mitch Moroz
Columbus,Nick Campoli
Columbus,Nils Aman
Columbus,Noel Hoefenmayer
Columbus,Olivier Leblanc
Columbus,Owen Tippett
Columbus,Philippe Desrosiers
Columbus,Rodrigo Abols
Columbus,Ryan Hegarty
Columbus,Ryan Tesink
Columbus,Steven Spinner
Columbus,Thomas Harley
Columbus,Tim Berni
Columbus,Vladislav Kolyachonok
Columbus,Wade Allison
Columbus,Wade Murphy
Columbus,Wiley Sherman
Dallas,Chase Lang
Dallas,Egor Serdyuk
Dallas,Igor Shvyrev
Dallas,Jedd Soleway
Dallas,Jiri Patera
Dallas,Kasper Puutio
Dallas,Kienan Draper
Dallas,Leevi Aaltonen
Dallas,Linus Weissbach
Dallas,Marcus Westfalt
Dallas,Mathias From
Dallas,Matthew Wedman
Dallas,Nick Boka
Dallas,Nikolai Kovalenko
