Team,ProspectName
Anaheim,Aaron Haydon
Anaheim,Alex Kannok-Leipert
Anaheim,Brayden Chizen
Anaheim,Filip Ahl
Anaheim,Gabriel Fontaine
Anaheim,John Marino
Anaheim,Jordan Sambrook
Anaheim,Kristoffer Gunnarsson
Anaheim,Logan Cockerill
Anaheim,Marc McNulty
Anaheim,Marcus Karlberg
Anaheim,Marcus Vela
Anaheim,Matt Ustaski
Anaheim,Nicklaus Perbix
Anaheim,Patrik Siikanen
Anaheim,Sean Day
Anaheim,Wyatte Wylie
Anaheim,Alec Regula
Boston,Alex Dostie
Boston,Andrew Fritsch
Boston,Avery Peterson
Boston,Brendan O'Donnell
Boston,Brent Pedersen
Boston,Brett Davis
Boston,Chris Wilkie
Boston,Christopher Brown
Boston,Daniel Bernhardt
Boston,Dylan Ferguson
Boston,Eric Neilson
Boston,Gilles Senn
Boston,Jack Walker
Boston,Jordan Morrison
Boston,Magnus Chrona
Boston,Marek Langhamer
Boston,Nick Walters
Boston,Olle Lycksell
Boston,P.J. Fenton
Boston,Patrick Daly
Boston,Paul Cotter
Boston,Riley Bruce
Boston,Stepan Falkovsky
Boston,Travis Brown
Boston,Xavier Bouchard
Boston,Yan-Pavel Laplante
Buffalo,Adam Musil
Buffalo,Albin Eriksson
Buffalo,Alex Formenton
Buffalo,Artur Kayumov
Buffalo,Austin Poganski
Buffalo,Axel Jonsson-Fjallby
Buffalo,Chase Pearson
Buffalo,Chris Calnan
Buffalo,Curtis Douglas
Buffalo,Danila Zhuravlyov
Buffalo,David Drake
Buffalo,David Pope
Buffalo,Denis Bodrov
Buffalo,Derek Mathers
Buffalo,Dominik Bielke
Buffalo,Edgars Kulda
Buffalo,Evan Bouchard
Buffalo,Evgeny Svechnikov
Buffalo,Fabian Zetterlund
Buffalo,Filip Westerlund
Buffalo,Francois Tremblay
Buffalo,Garrett Metcalf
Buffalo,Geoffrey Schemitsch
Buffalo,Jack Dugan
Buffalo,Jack LaFontaine
Buffalo,Jason Clark
Buffalo,Jean-Sebastien Berube
Buffalo,Joachim Nermark
Buffalo,Joe Masonius
Buffalo,Jonas Rondbjerg
Buffalo,Jonathan Iilahti
Buffalo,Joseph Palmer
Buffalo,Julian Melchiori
Buffalo,Justin Holl
Buffalo,Keegan Kolesar
Buffalo,Klim Kostin
Buffalo,Kyle Schempp
Buffalo,Maksim Zhukov
Buffalo,Mason McDonald
Buffalo,Matt Marquardt
Buffalo,Max Gordichuk
Buffalo,Mitch Gaulton
Buffalo,Morgan Barron
Buffalo,Nils Lundkvist
Buffalo,Peter Diliberatore
Buffalo,Richard Nedomlel
Buffalo,Riley Boychuk
Buffalo,Robin Salo
Buffalo,Scott Walford
Buffalo,Sean Maguire
Buffalo,Stanislav Balan
Buffalo,Stuart Skinner
Buffalo,Taylor Stefishen
Buffalo,Todd Burgess
Buffalo,Tomas Zaborsky
Buffalo,Troy Bourke
Buffalo,Ty Emberson
Buffalo,Ty Morris
Buffalo,Vaclav Karabacek
Buffalo,William Lockwood
Buffalo,Zach Tarkir
Buffalo,Riley Stotts
Buffalo,Ty Dellandrea
Calgary,Andrew Peeke
Calgary,Boris Katchouk
Calgary,Brycen Martin
Calgary,Cameron Morrison
Calgary,Chris Martenet
Calgary,Clayton Phillips
Calgary,Connor Chatham
Calgary,Demetrios Koumontzis
Calgary,Dustyn McFaul
Calgary,Filip Zadina
Calgary,Jack Badini
Calgary,Jack McBain
Calgary,Jake Oettinger
Calgary,Jesper Boqvist
Calgary,Josh Brook
Calgary,Josh Norris
Calgary,Julien Gauthier
Calgary,Kailer Yamamoto
Calgary,Keven Bouchard
Calgary,Leon Gawanke
Calgary,Libor Hajek
Calgary,Linus Lindstrom
Calgary,Logan Brown
Calgary,Mattias Samuelsson
Calgary,Morgan Frost
Calgary,Noah Cates
Calgary,Reilly Walsh
Calgary,Roman Durny
Calgary,Ryan Lindgren
Calgary,Ryan McGregor
Calgary,Shane Eiserman
Calgary,Slava Demin
Calgary,Stelio Mattheos
Calgary,Steven Lorentz
Calgary,Urho Vaakanainen
Calgary,Zach Fischer
Calgary,Alex Green
Calgary,Jonny Tychonick
Calgary,Linus Karlsson
Calgary,Logan Hutsko
Calgary,Olivier Rodrigue
Calgary,Sampo Ranta
Carolina,Alexander Dergachyov
Carolina,Alexis Gravel
Carolina,Arnaud Durandeau
Carolina,Chandler Yakimowicz
Carolina,Christian Krygier
Carolina,Cole Fonstad
Carolina,Cole Fraser
Carolina,Cole Ully
Carolina,Collin Shirley
Carolina,Dylan Sadowy
Carolina,Dysin Mayo
Carolina,Hunter Fejes
Carolina,Julius Nattinen
Carolina,Luke Opilka
Carolina,Matt Buckles
Carolina,Nikolas Brouillard
Carolina,Tyson Baillie
Carolina,Wilhelm Westlund
Carolina,Joonas Oden
Carolina,Sean Walker
Chicago,Adam Werner
Chicago,Andreas Soderberg
Chicago,Ashton Bernard
Chicago,Benjamin Casavant
Chicago,Brody Sutter
Chicago,C.J. Severyn
Chicago,Corbin McPherson
Chicago,David Bernhardt
Chicago,Filip Sveningsson
Chicago,Ivan Fedotov
Chicago,Jermaine Loewen
Chicago,Kenton Helgesen
Chicago,Mackenze Stewart
Chicago,Mark Goggin
Chicago,Matthew Phillips
Chicago,Maxime Gratchev
Chicago,Mike Kesselring
Chicago,Mirko Hoefflin
Chicago,Radovan Bondra
Chicago,Ryan Button
Chicago,Santeri Saari
Chicago,Scott Stajcer
Chicago,Taylor Ellington
Chicago,Toni Utunen
Chicago,Troy Josephs
Colorado,Aapeli Rasanen
Colorado,Alexander Polunin
Colorado,Alexander True
Colorado,Anatoly Golyshev
Colorado,Andrei Svetlakov
Colorado,Anthony Salinitri
Colorado,Cameron Hughes
Colorado,Connor Corcoran
Colorado,Damien Riat
Colorado,David Quenneville
Colorado,Erik Brannstrom
Colorado,Filip Berglund
Colorado,Filip Larsson
Colorado,Garrett Pilon
Colorado,Igor Rykov
Colorado,Ivan Chekhovich
Colorado,Jacob Cederholm
Colorado,Jacob Golden
Colorado,Kasper Bjorkqvist
Colorado,Kieffer Bellows
Colorado,Kyle Copablanco
Colorado,Liam Hawel
Colorado,Linus Cronholm
Colorado,Louis Belpedio
Colorado,Lucas Carlsson
Colorado,Lucas Johansen
Colorado,Luke Stevens
Colorado,Markus Phillips
Colorado,Mason Shaw
Colorado,Matthew Strome
Colorado,Matthew Villalta
Colorado,Max Lajoie
Colorado,Nicholas Caamano
Colorado,Ostap Safin
Colorado,Sasha Chmelevski
Colorado,Simon Stransky
Colorado,Tyler Benson
Colorado,Tyler Parsons
Colorado,Ukko-Pekka Luukkonen
Colorado,Vladimir Bobylev
Colorado,William Bitten
Colorado,William Worge-Kreu
Columbus,Alexis Pepin
Columbus,Alexis Vanier
Columbus,Alfons Malmstrom
Columbus,Anton Krysanov
Columbus,Brady Austin
Columbus,Brandon Crawley
Columbus,Brandon Gignac
Columbus,Connor Bunnaman
Columbus,Conor Timmins
Columbus,David Broll
Columbus,Dmitry Zhukenov
Columbus,Doyle Somerby
Columbus,Erik Walli-Walterholm
Columbus,Jake Paterson
Columbus,Jimmy Lodge
Columbus,Jordan Harris
Columbus,Liam Dunda
Columbus,Liam Kirk
Columbus,Louie Caporusso
Columbus,Luke Green
Columbus,Manuel Wiederer
Columbus,Marek Viedensky
Columbus,Matt Schmalz
Columbus,Matthew Thiessen
Columbus,Miska Kukkonen
Columbus,Mitch Moroz
Columbus,Nick Campoli
Columbus,Noel Hoefenmayer
Columbus,Olivier Leblanc
Columbus,Owen Tippett
Columbus,Philippe Desrosiers
Columbus,Rodrigo Abols
Columbus,Ryan Hegarty
Columbus,Ryan Tesink
Columbus,Steven Spinner
Columbus,Tim Berni
Columbus,Wade Allison
Columbus,Wade Murphy
Columbus,Wiley Sherman
Dallas,Chase Lang
Dallas,Erik Foley
Dallas,Hugh McGing
Dallas,Igor Shvyrev
Dallas,Jedd Soleway
Dallas,Jiri Patera
Dallas,Linus Weissbach
Dallas,Marcus Westfalt
Dallas,Mathias From
Dallas,Nick Boka
Dallas,Nikolai Kovalenko
Dallas,Oleg Sosunov
Dallas,Sam Ruopp
Dallas,Tarmo Reunanen
Detroit,Adam Ollas-Mattsson
Detroit,Alexandre Texier
Detroit,Alexei Toropchenko
Detroit,Andrei Altybarmakyan
Detroit,Anton Cederholm
Detroit,Beck Malenstyn
Detroit,Brent Andrews
Detroit,Carter Hart
Detroit,Cedric Pare
Detroit,Fedor Gordeev
Detroit,Frederik Tiffels
Detroit,Gabryel Boudreau
Detroit,Hudson Elynuik
Detroit,J.D. Greenway
Detroit,Jack Kopacka
Detroit,Jack Rathbone
Detroit,Jasper Weatherby
Detroit,Jett Woo
Detroit,Josh Mahura
Detroit,Juuso Valimaki
Detroit,Kole Lind
Detroit,Kyle Jenkins
Detroit,Kyle Platzer
Detroit,Mac Hollowell
Detroit,Mark Shoemaker
Detroit,Michael Prapavessis
Detroit,Mike Callahan
Detroit,Mikhail Maltsev
Detroit,Miro Karjalainen
Detroit,Nate Schnarr
Detroit,Nathan Smith
Detroit,Pavel Karnaukhov
Detroit,Pierre-Olivier Joseph
Detroit,Quinn Hughes
Detroit,Reece Scarlett
Detroit,Riley Stillman
Detroit,Ross Colton
Detroit,Simon Bourque
Detroit,Will Borgen
Detroit,Zachary Emond
Detroit,Aidan Dudas
Detroit,Alexander Romanov
Detroit,Filip Hallander
Detroit,Ryan Merkley
Detroit,Ryan O'Reilly
Detroit,Tyler Weiss
Edmonton,Cole Hults
Edmonton,Ivan Chukarov
Edmonton,Jeremy Gregoire
Edmonton,Jeremy Helvig
Edmonton,Justin Hache
Edmonton,Konstantin Volkov
Edmonton,Mikael Hakkarainen
Edmonton,Mitchell Hoelscher
Edmonton,Noah Gregor
Edmonton,Radim Salda
Edmonton,Samuel Walker
Edmonton,Ty Ronning
Florida,Angus Crookshank
Florida,Brendan Burke
Florida,Carson Meyer
Florida,Dmitry Sokolov
Florida,Dylan Wells
Florida,Eric Roy
Florida,Felix Girard
Florida,Josh Wesley
Florida,Kale Clague
Florida,Kale Howarth
Florida,Karch Bachman
Florida,Kirill Slepets
Florida,Lukas Jasek
Florida,Luke Loheit
Florida,Michael Clarke
Florida,Mike Robinson
Florida,Mikhail Berdin
Florida,Ryan Pilon
Florida,Saku Salminen
Florida,Sam Steel
Florida,Scott Reedy
Florida,Ty Lewis
Florida,Tyler Nanne
Florida,Vasili Glotov
Florida,Victor Brattstrom
Islanders,Barrett Hayton
Islanders,Ben Johnson
Islanders,Cody Glass
Islanders,Cody Wild
Islanders,David Hrenak
Islanders,Hampus Melen
Islanders,Hunter Drew
Islanders,Jake Marchment
Islanders,Jakob Ragnarsson
Islanders,Jeremy Davies
Islanders,Joni Tuulola
Islanders,Lenni Killinen
Islanders,Marian Studenic
Islanders,Merrick Madsen
Islanders,Michael Pezzetta
Islanders,Nicolas Beaudin
Islanders,Nikita Popugaev
Islanders,Nolan Stevens
Islanders,Patrick Sanvido
Islanders,Rudolfs Balcers
Islanders,Ryan Segalla
Islanders,Sam Lafferty
Islanders,Samuel Dove-McFalls
Islanders,Trenton Bourque
LosAngeles,Adam Ginning
LosAngeles,Benton Maass
LosAngeles,Bokondji Imama
LosAngeles,Cale Fleury
LosAngeles,Calvin Thurkauf
LosAngeles,Colton White
LosAngeles,Connor Hall
LosAngeles,David Kase
LosAngeles,Denis Gurianov
LosAngeles,Dmitri Semykin
LosAngeles,Hardy Haman-Aktell
LosAngeles,J.D. Dudek
LosAngeles,Jacob Olofsson
LosAngeles,Jake Jackson
LosAngeles,Jake Wise
LosAngeles,Jakub Skarek
LosAngeles,Jared Moe
LosAngeles,Jeremy Swayman
LosAngeles,Jesse Ylonen
LosAngeles,John St. Ivany
LosAngeles,Jonathan Kovacevic
LosAngeles,Josiah Slavin
LosAngeles,Julien Pelletier
LosAngeles,Kelly Summers
LosAngeles,Lukas Dostal
LosAngeles,Marcus Soberg
LosAngeles,Michael DiPietro
LosAngeles,Nathan Bastian
LosAngeles,Niclas Almari
LosAngeles,Nico Gross
LosAngeles,Niklas Nordgren
LosAngeles,Oliver Wahlstrom
LosAngeles,Oskar Back
LosAngeles,Patrick Koudys
LosAngeles,Rasmus Dahlin
LosAngeles,Sebastian Walfridsson
LosAngeles,Tim Gettinger
LosAngeles,Trent Frederic
LosAngeles,Veeti Vainio
LosAngeles,Vladislav Yeryomenko
LosAngeles,Wyatt Kalynuk
Minnesota,Adam Janosik
Minnesota,Adam Wilcox
Minnesota,Alex Theriau
Minnesota,Andrew Sarauer
Minnesota,Axel Holmstrom
Minnesota,Brett Hextall
Minnesota,Brett Morrison
Minnesota,Brett Murray
Minnesota,Brett Ponich
Minnesota,Casey Pierro-Zabotel
Minnesota,Colby Williams
Minnesota,Daniel Brodin
Minnesota,Daniil Tarasov
Minnesota,David Cotton
Minnesota,Deven Sideroff
Minnesota,Fredric Larsson
