name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
Ilya Samsonov,G,L,75,203,22,79,79,80,75,70,70,80,79,79,0,0,25,25,750000,4,RUS,ANA
Ivan Provorov,D,L,72,201,22,70,77,71,77,75,69,78,76,75,75,70,35,35,1250000,4,RUS,ANA
Joel Eriksson-Ek,C,L,73,208,22,69,70,70,74,69,68,73,71,72,65,69,25,25,750000,4,SWE,ANA
Josh Ho-Sang,RW,R,72,172,23,69,72,73,72,66,72,68,70,71,68,69,25,25,750000,4,CAN,ANA
Julius Honka,D,R,70,180,23,70,72,66,69,64,64,71,68,67,70,71,25,25,750000,4,FIN,ANA
Kevin Fiala,LW,L,70,180,22,68,73,66,75,69,70,73,73,73,68,73,25,25,1000000,4,CHE,ANA
Mikko Rantanen,RW,L,75,211,22,69,75,76,79,70,69,75,81,80,70,75,35,35,1250000,4,FIN,ANA
Philippe Myers,D,R,77,202,22,69,73,75,72,67,65,71,69,69,71,66,62,25,1000000,4,CAN,ANA
Kaapo Kahkonen,G,L,74,222,22,75,80,75,66,66,70,78,74,74,0,0,25,25,750000,4,FIN,ANA
Clayton Keller,C,L,70,164,20,68,79,66,76,70,69,78,78,77,68,73,35,35,1100000,4,USA,ANA
Jakob Chychrun,D,L,74,200,20,67,70,73,75,73,65,70,70,70,74,69,25,25,1000000,4,USA,BUF
Logan Stanley,D,L,79,224,20,69,69,77,73,67,71,67,67,64,71,66,25,25,750000,4,CAN,BUF
Nico Hischier,C,L,73,179,20,69,75,70,76,70,70,74,76,75,70,75,35,35,1100000,4,CHE,BUF
Adam Brooks,C,L,70,174,22,66,71,66,65,65,65,66,68,63,66,72,25,25,750000,4,CAN,CAR
Brett Lernout,D,R,76,206,23,60,69,75,73,67,73,60,69,68,67,60,25,25,650000,4,CAN,CAR
Daniel Audette,C,L,68,175,22,69,60,63,68,67,70,69,67,71,61,67,25,25,650000,4,CAN,CAR
Joe Hicketts,D,L,68,180,22,66,70,64,69,68,74,69,69,67,72,69,25,25,750000,4,CAN,CAR
Jordan Greenway,LW,L,78,226,22,64,73,76,72,65,68,72,71,71,68,70,25,25,1000000,4,USA,CAR
Mackenzie Blackwood,G,L,76,215,22,74,79,75,72,65,67,78,74,77,0,0,25,25,750000,4,CAN,CAR
Samuel Blais,LW,L,74,205,22,63,66,71,68,66,60,62,68,69,69,68,25,25,750000,4,CAN,PHO
Yakov Trenin,C,R,73,194,22,70,72,70,68,72,68,65,69,66,69,60,25,25,650000,4,RUS,CAR
Dennis Gilbert,D,L,74,201,22,67,70,73,73,70,60,64,65,62,64,64,25,25,650000,4,USA,CBJ
Rasmus Andersson,D,R,72,212,22,69,72,70,74,65,67,69,68,72,64,67,25,25,750000,4,SWE,CBJ
Adam Gaudette,C,R,72,170,22,67,70,70,73,73,71,72,67,71,69,69,25,25,750000,4,USA,CGY
Chase Priskie,D,R,72,185,22,66,64,70,67,65,63,69,60,64,71,70,25,25,650000,4,USA,CGY
Jesse Puljujarvi,RW,R,75,208,20,68,71,74,73,64,70,72,71,71,68,70,25,25,1000000,4,SWE,CGY
Yegor Korshkov,RW,L,76,180,22,69,62,75,61,64,69,68,61,68,66,62,25,25,650000,4,RUS,CGY
Nolan Patrick,C,R,74,199,20,69,74,73,75,66,70,74,74,73,68,71,35,35,1000000,4,CAN,CGY
Kyle Wood,D,R,75,195,22,72,67,74,70,75,72,69,69,69,66,68,25,25,750000,4,CAN,CGY
Rushan Rafikov,D,L,74,181,23,69,69,73,68,67,75,63,67,70,69,69,25,25,750000,4,RUS,CGY
Ben Thomas,D,R,73,190,22,68,67,70,70,68,72,69,69,69,66,68,25,25,750000,4,CAN,CGY
Blake Siebenaler,D,R,75,207,23,73,70,74,71,65,63,68,68,67,70,69,25,25,750000,4,USA,CGY
Mikey Eyssimont,RW,L,72,192,22,63,70,69,66,70,75,63,63,69,66,64,25,25,650000,4,USA,CGY
Connor Clifton,D,R,70,175,23,69,74,66,74,67,63,73,67,63,65,69,25,25,750000,4,USA,CHI
Anthony Angello,C,R,75,190,22,62,73,74,67,69,61,60,68,60,67,62,25,25,650000,4,USA,COL
Brendan Lemieux,LW,L,72,206,22,72,72,71,73,65,67,69,69,69,68,70,25,25,750000,4,USA,COL
Niklas Tikkinen,D,L,71,185,24,66,64,64,67,65,63,69,60,64,71,70,25,25,650000,4,FIN,DAL
Tyler Ganly,D,R,73,201,23,61,63,70,70,73,70,63,63,63,61,62,25,25,600000,4,CAN,DAL
Michael Dal Colle,LW,L,73,182,22,62,63,70,72,73,70,66,65,70,64,72,25,25,750000,4,CAN,DET
Conor Garland,RW,R,68,163,22,67,73,63,74,66,67,74,65,69,69,70,25,25,750000,4,USA,EDM
Spencer Smallman,RW,R,72,184,22,69,72,70,72,65,67,69,68,69,64,67,74,25,750000,4,CAN,EDM
Anthony Richard,C,L,69,163,22,66,67,65,70,63,73,73,64,73,67,64,25,25,650000,4,CAN,EDM
Connor Ingram,G,L,72,212,21,80,69,70,79,78,74,78,70,77,0,0,25,25,650000,4,CAN,EDM
Mathieu Joseph,RW,L,72,166,22,64,72,70,73,72,71,67,69,69,64,64,25,25,750000,4,CAN,EDM
Connor Hobbs,D,R,72,187,22,70,69,70,65,71,66,66,68,71,63,67,25,25,750000,4,CAN,EDM
Dakota Joshua,C,L,73,182,22,75,66,71,65,70,73,64,69,66,68,69,25,25,750000,4,USA,EDM
Alex Lintuniemi,D,L,75,231,23,73,60,74,70,73,66,63,60,69,67,65,25,25,750000,4,FIN,FLA
Chase De Leo,C,L,69,178,23,60,70,65,69,60,73,66,69,65,60,70,25,25,650000,4,USA,FLA
Mike Amadio,C,R,73,204,22,67,65,70,73,66,70,74,65,69,68,68,25,25,750000,4,CAN,FLA
Victor Olofsson,RW,L,67,157,23,65,68,70,71,61,66,62,66,60,66,66,25,25,650000,4,SWE,FLA
Victor Mete,D,L,69,173,20,64,76,64,75,68,72,75,71,70,74,67,25,25,1000000,4,CAN,FLA
Kasperi Kapanen,RW,R,72,181,22,72,76,70,75,68,70,75,74,74,69,74,35,35,1100000,4,FIN,LA
Aleksi Saarela,C,L,70,198,22,70,69,66,71,64,65,69,68,70,65,68,25,25,750000,4,FIN,MIN
Blake Speers,C,R,71,181,22,61,64,68,67,60,74,69,74,60,70,70,25,25,750000,4,CAN,MIN
Dmytro Timashov,LW,L,69,192,22,66,73,65,70,69,71,73,64,69,67,68,25,25,750000,4,UKR,MIN
Ethan Bear,D,R,71,200,21,69,66,68,68,60,71,60,68,67,63,68,25,25,650000,4,CAN,MIN
Francis Perron,LW,L,71,166,22,66,73,67,70,69,71,64,64,69,68,68,25,25,750000,4,CAN,MIN
Ian McCoshen,D,L,74,205,23,67,69,73,62,72,69,71,69,65,61,64,25,25,650000,4,USA,MIN
Jack Roslovic,C,R,72,182,22,68,71,70,74,68,72,70,71,71,69,68,25,25,750000,4,USA,MIN
Kevin Stenlund,C,R,75,205,22,67,74,74,66,66,60,66,64,61,67,66,25,25,650000,4,SWE,MIN
Kirill Kaprizov,LW,L,69,185,21,69,77,65,74,69,70,76,73,74,68,70,25,25,1000000,4,RUS,MIN
Kyle Connor,LW,L,73,177,22,67,77,70,76,70,70,77,77,77,68,75,35,35,1100000,4,USA,MIN
Martins Dzierkals,LW,L,71,169,21,67,64,68,68,70,69,61,69,67,69,65,25,25,650000,4,LVA,MIN
Oliver Kylington,D,L,72,185,21,69,71,70,74,68,69,71,70,70,73,69,25,25,1000000,4,SWE,MIN
C.J. Smith,RW,L,71,180,24,66,64,69,68,63,60,65,69,66,60,68,25,25,650000,4,USA,MTL
Dane Birks,D,R,75,190,23,74,66,60,68,68,71,62,61,64,65,61,25,25,600000,4,CAN,MTL
Morgan Klimchuk,LW,L,72,185,23,62,73,69,68,69,72,60,69,69,68,67,25,25,750000,4,CAN,MTL
Nikolas Koberstein,D,R,73,180,23,62,71,70,62,68,65,63,69,64,69,64,25,25,650000,4,CAN,MTL
Anton Blidh,LW,R,71,184,23,65,66,68,68,73,66,73,63,66,68,68,25,25,650000,4,SWE,NAS
Michael Bunting,LW,L,71,174,23,67,61,68,65,69,64,69,73,63,62,70,25,25,650000,4,CAN,NAS
Saku Maenalanen,RW,L,75,176,24,65,66,74,68,73,66,73,63,66,73,70,25,25,750000,4,FIN,NAS
Pierre Engvall,LW,L,76,191,22,69,70,75,62,72,65,65,70,66,68,66,25,25,750000,4,SWE,NJ
Dominic Toninato,C,L,74,202,24,73,66,73,68,66,75,67,69,64,68,69,25,25,750000,4,USA,NJ
Callum Booth,G,L,74,199,21,71,76,73,72,69,68,75,70,76,0,0,25,25,650000,4,CAN,NJ
Dominik Kubalik,LW,L,74,179,23,69,66,73,74,71,67,65,64,68,63,68,25,25,750000,4,CZE,NJ
A.J. Greer,LW,L,75,204,22,68,69,74,71,61,61,69,69,68,68,60,78,64,750000,4,CAN,NYI
Colin White,C,R,72,183,22,68,74,70,75,70,70,74,74,75,67,70,25,25,1000000,4,USA,NYR
Cooper Marody,C,R,72,184,22,65,71,70,61,74,61,67,66,69,67,70,25,25,750000,4,USA,NYR
Mikhail Vorobyov,C,L,74,192,22,72,69,71,60,72,68,65,69,65,68,68,25,25,750000,4,RUS,NYR
Vince Dunn,D,L,71,187,22,69,74,70,76,70,67,75,75,74,75,70,35,35,1100000,4,CAN,NYR
Nicolas Roy,C,R,76,195,22,69,72,75,73,72,71,67,68,69,64,64,25,25,750000,4,CAN,NYR
Alexandre Carrier,D,R,71,174,22,69,74,68,74,67,63,73,67,63,65,71,25,25,750000,4,CAN,NYR
Shane Gersich,C,L,71,175,22,66,61,68,67,70,73,60,64,69,66,66,25,25,650000,4,USA,CAR
Mathew Barzal,C,R,71,175,21,69,79,69,79,75,69,79,80,81,69,75,35,35,1250000,4,CAN,PIT
Ryan Donato,C,L,72,174,22,63,67,70,62,69,64,74,62,72,70,70,25,25,750000,4,USA,PIT
Ryan Mantha,RW,L,76,208,22,64,71,75,71,73,68,72,69,70,62,67,25,25,750000,4,USA,PIT
Sebastian Aho,RW,L,71,172,21,69,76,69,78,71,69,76,79,79,69,77,35,35,1150000,4,FIN,PIT
Warren Foegele,LW,L,72,178,22,72,69,70,60,72,68,70,71,70,69,69,25,25,750000,4,CAN,PIT
Conner Bleackley,C,R,72,192,23,74,72,70,71,61,61,74,73,63,68,60,25,25,750000,4,CAN,SJ
Glenn Gawdin,C,R,72,191,21,70,63,70,71,69,70,72,67,69,64,67,25,25,750000,4,CAN,SJ
