name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
Sam Steel,C,L,71,189,22,65,68,70,70,62,70,70,70,70,63,70,35,35,900000,4,CAN,FLA
Alexander Nylander,RW,L,73,192,22,62,66,69,69,60,70,69,69,69,67,69,35,35,900000,4,CAN,STL
Luke Kunin,C,L,72,197,22,73,68,72,76,64,67,65,74,68,64,70,35,35,1100000,4,USA,Anaheim
Casey Mittelstadt,C,L,73,199,21,65,68,73,74,65,75,65,74,73,64,71,35,35,1100000,4,USA,Anaheim
Erik Cernak,D,L,75,233,22,76,66,76,76,66,64,66,74,73,63,72,35,35,1100000,4,SVK,Winnipeg
Jacob Larsson,D,L,74,190,22,67,66,72,74,63,70,66,68,67,67,62,35,35,900000,4,SWE,Winnipeg
Lias Andersson,C,L,72,190,21,72,68,71,72,63,64,67,70,66,65,65,35,35,900000,4,SWE,Winnipeg
Christoffer Ehn,C,L,75,195,23,70,65,72,71,67,70,66,70,66,66,64,35,35,750000,4,SWE,Boston
Anthony Cirelli,C,L,72,193,22,71,65,72,76,66,69,70,75,74,66,74,35,35,1250000,4,CAN,Colorado
Filip Chytil,C,L,74,206,20,65,68,73,75,65,75,65,73,73,63,71,35,35,1100000,4,CZE,Colorado
Filip Hronek,D,L,72,183,22,72,70,70,74,65,68,70,74,74,64,74,35,35,1100000,4,CZE,Colorado
Michael Rasmussen,C,L,78,221,20,71,67,75,73,67,67,67,73,71,67,70,35,35,1100000,4,CAN,Colorado
Brett Howden,C,L,74,197,21,70,65,73,76,68,70,67,75,73,63,67,35,35,1100000,4,CAN,Detroit
Miro Heiskanen,D,L,73,190,20,66,67,72,79,71,71,67,76,78,65,76,40,37,1250000,4,FIN,Detroit
Noah Juulsen,D,L,74,193,22,74,66,72,74,62,70,68,71,66,63,68,35,35,900000,4,CAN,LosAngeles
Denis Malgin,C,L,69,177,23,66,69,69,73,66,75,69,72,71,63,70,35,35,900000,4,CHE,Nashville
Dylan Strome,C,L,75,200,23,66,73,72,77,64,73,66,79,77,64,74,35,35,1250000,4,CAN,Nashville
