name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
John Marino,D,R,73,181,23,73,72,72,75,65,70,71,74,76,75,73,35,33,1250000,4,USA,Anaheim
Justin Holl,D,R,75,210,28,72,72,77,76,62,68,71,73,71,76,65,39,37,1100000,4,USA,Buffalo
Kailer Yamamoto,RW,R,68,153,22,73,77,65,76,59,70,77,76,74,67,74,35,33,1100000,4,USA,Calgary
Ryan Lindgren,D,L,72,191,22,76,70,72,76,63,64,72,72,71,73,63,35,33,1000000,4,USA,Calgary
Sean Walker,D,R,71,196,26,70,72,70,77,65,73,72,75,78,71,71,38,36,1100000,4,CAN,Carolina
Kirby Dach,C,R,76,197,19,67,73,77,76,70,69,74,74,75,68,70,35,33,1100000,4,CAN,Colorado
Quinn Hughes,D,L,70,170,21,65,80,67,78,64,75,80,80,80,72,72,35,33,1250000,4,USA,Detroit
Sam Steel,C,L,71,189,22,65,77,69,77,64,71,76,73,74,67,70,35,33,1000000,4,CAN,Florida
Rudolfs Balcers,LW,L,71,180,23,69,74,68,74,61,70,74,72,74,67,68,35,33,1000000,4,LVA,Islanders
Sam Lafferty,C,R,73,195,25,74,72,70,71,65,65,73,71,69,69,70,35,33,1000000,4,USA,Islanders
Cale Fleury,D,R,73,205,22,74,72,70,74,64,70,73,60,56,71,64,35,33,900000,4,CAN,LosAngeles
Denis Gurianov,RW,L,75,200,23,68,74,75,74,64,75,75,71,73,66,74,35,33,1100000,4,RUS,LosAngeles
Garrett Wilson,LW,L,74,218,29,67,69,77,64,64,63,69,65,62,65,61,39,37,800000,4,CAN,Minnesota
Dillon Dube,C,L,71,187,22,68,74,68,73,63,71,74,73,68,66,69,35,33,900000,4,CAN,Nashville
Lawrence Pilut,D,L,71,194,24,68,71,70,74,60,69,70,67,67,71,64,35,33,900000,4,SWE,New Jersey
Kaapo Kakko,RW,L,75,199,19,65,74,77,76,75,71,75,73,75,66,71,35,33,1100000,4,FIN,Ottawa
Emil Bemstrom,C,R,71,190,21,67,74,68,74,65,70,74,72,74,66,72,35,33,1000000,4,SWE,Phoenix
Henri Jokiharju,D,R,72,195,21,69,71,70,77,65,69,70,75,72,75,67,35,33,1000000,4,FIN,Phoenix
Jack Hughes,C,L,70,170,19,66,79,69,77,67,70,79,74,75,68,69,35,33,1100000,4,USA,Phoenix
Nick Suzuki,C,R,71,201,21,68,74,72,77,74,75,73,77,76,67,72,35,33,1100000,4,CAN,Pittsburgh
Josh Brown,D,R,77,217,26,73,68,77,74,65,64,69,69,61,70,68,37,35,1000000,4,CAN,Rangers
Dylan Gambrell,C,R,72,185,24,68,73,69,73,60,69,73,68,67,70,66,35,33,900000,4,USA,San Jose
Jonas Siegenthaler,D,L,75,210,23,70,70,74,75,64,67,69,73,69,75,64,35,33,1000000,4,CHE,San Jose
Matt Roy,D,R,73,200,25,73,71,70,77,65,75,72,74,75,74,70,36,34,1100000,4,USA,San Jose
Jordan Kyrou,C,R,72,175,22,64,75,67,72,60,69,75,71,71,66,69,35,33,900000,4,CAN,St. Louis
Drake Batherson,RW,R,73,206,22,74,72,74,74,60,68,73,74,74,66,70,35,33,1000000,4,USA,Tampa Bay
Joel Farabee,LW,L,72,164,20,68,77,65,76,65,64,77,74,73,67,71,35,33,1000000,4,USA,Tampa Bay
Joey Anderson,RW,R,71,190,22,68,73,70,74,61,70,73,68,66,74,72,35,33,1000000,4,USA,Tampa Bay
Cale Makar,D,R,71,187,22,69,79,68,78,65,70,80,82,81,73,78,35,33,1250000,4,CAN,Toronto
Dante Fabbro,D,R,72,189,22,71,72,70,77,63,68,72,71,68,70,73,35,33,1000000,4,CAN,Toronto
Adam Fox,D,R,71,181,22,71,74,70,78,74,70,75,79,79,74,74,35,33,1250000,4,USA,Washington
Martin Necas,C,R,73,189,21,67,80,72,77,61,70,80,75,76,70,73,35,33,1250000,4,CZE,Washington
Adam Boqvist,D,R,71,179,20,67,75,68,74,64,70,76,74,74,67,72,35,33,1100000,4,SWE,Winnipeg
Mario Ferraro,D,L,71,185,22,74,73,69,75,67,68,74,74,69,71,66,35,33,1000000,4,CAN,Winnipeg
Max Jones,LW,L,75,220,22,71,70,78,76,64,66,71,66,64,69,69,35,33,900000,4,USA,Winnipeg
