name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Jake Guentzel,Anaheim,0,70,77,71,80,77,69,77,78,81,69,80,37,35
Phil Kessel,Anaheim,0,67,85,68,82,87,77,85,86,85,67,79,88,80
Mikko Rantanen,Anaheim,0,69,77,79,81,70,69,76,83,83,70,81,40,38
Ivan Provorov,Anaheim,0,69,77,70,79,76,68,78,76,76,76,72,39,38
Jeff Carter,Anaheim,0,73,74,75,79,68,67,74,77,78,71,76,88,84
Patrick Marleau,Anaheim,0,67,79,70,77,99,78,79,75,75,70,73,99,99
Joel Ward,Anaheim,0,73,71,77,74,70,69,70,70,70,69,69,78,70
Ryan Kesler,Anaheim,0,75,72,75,76,71,57,72,71,72,71,70,91,86
Sean Couturier,Boston,0,75,77,77,82,77,69,76,80,80,78,80,61,56
Nate Schmidt,Boston,0,70,80,72,80,73,74,79,76,77,77,72,48,44
Casey Cizikas,Boston,0,72,76,72,77,72,73,74,75,74,74,74,57,52
Max Pacioretty,Boston,0,71,77,76,80,70,74,77,77,78,69,79,71,64
Brent Seabrook,Boston,0,72,74,81,79,79,75,74,76,76,79,72,94,90
Sam Gagner,Boston,0,65,76,65,75,66,75,76,72,72,65,69,79,72
Nico Hischier,Boston,0,69,80,70,79,70,70,79,79,78,70,75,34,33
Jacob Markstrom,Boston,0,84,86,86,81,79,81,85,85,80,NA,NA,36,32
Malcolm Subban,Boston,0,80,83,80,77,79,79,83,84,81,NA,NA,31,30
Jakob Chychrun,Boston,0,70,70,74,77,73,65,70,73,73,76,70,36,35
Darnell Nurse,Boston,0,70,75,78,79,75,74,75,77,76,75,74,42,39
Marc Methot,Boston,0,70,68,77,71,58,72,70,69,68,74,65,72,63
Adam Larsson,Boston,0,71,74,76,78,66,63,74,75,75,75,70,57,57
Alexei Emelin,Boston,0,71,73,74,71,66,64,73,69,69,73,63,59,55
Kyle Okposo,Calgary,0,74,76,76,76,70,65,76,74,75,67,74,74,71
Dylan Larkin,Carolina,0,69,84,73,78,83,68,84,81,80,71,78,44,47
Cam Atkinson,Carolina,0,69,84,66,80,76,75,83,78,81,68,81,59,54
Colton Parayko,Carolina,0,74,71,82,80,80,75,73,76,75,79,74,44,42
Artem Anisimov,Carolina,0,67,76,73,77,74,81,76,76,75,70,75,71,64
Justin Abdelkader,Carolina,0,78,76,76,76,76,50,76,73,73,70,72,71,68
Anze Kopitar,Carolina,0,73,78,79,84,80,80,78,83,83,78,76,88,90
Mike Hoffman,Chicago,0,68,84,71,79,73,77,83,79,81,66,80,53,48
Tom Wilson,Chicago,0,82,71,82,79,76,40,72,75,76,72,77,54,50
Alex Kerfoot,Chicago,0,69,77,69,77,70,67,76,76,77,71,73,37,34
Ryan McDonagh,Chicago,0,74,77,78,83,73,71,77,80,78,81,73,64,58
Cody Ceci,Chicago,0,75,71,77,77,75,75,73,72,73,74,73,52,49
Mikko Koivu,Chicago,0,70,72,75,76,74,69,73,76,76,71,71,90,91
Jason Demers,Chicago,0,73,75,72,75,65,60,75,73,73,75,71,67,61
Tyson Jost,Colorado,0,69,78,69,76,68,69,77,74,73,68,71,34,32
Darcy Kuemper,Colorado,0,83,85,86,79,74,79,85,84,82,0,0,31,31
Erik Gustafsson,Colorado,0,71,75,71,78,70,68,75,80,78,75,76,35,33
Frans Nielsen,Colorado,0,67,77,66,77,76,78,77,75,76,71,71,80,77
