name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Brady Skjei,Anaheim,0,0,0,0,0,0,0,0,77,75,0,0,0,0
Cam Fowler,Anaheim,0,0,0,0,0,0,0,0,77,77,0,0,0,0
Brett Pesce,Anaheim,0,0,0,0,0,0,0,0,76,77,0,0,0,0
Ilya Samsonov,Anaheim,0,0,0,0,0,0,0,0,78,85,0,0,0,0
Ivan Provorov,Anaheim,0,0,0,0,0,0,0,0,77,73,0,0,0,0
Jonathan Quick,Anaheim,0,0,0,0,0,0,0,0,80,88,0,0,0,0
Jeff Carter,Anaheim,0,0,0,0,0,0,0,0,77,79,0,0,0,0
Joel Eriksson-Ek,Anaheim,0,0,0,0,0,0,0,0,69,71,0,0,0,0
Eric Fehr,Anaheim,0,0,0,0,0,0,0,0,71,66,0,0,0,0
Patrick Marleau,Anaheim,0,0,0,0,0,0,0,0,76,77,0,0,0,0
Ryan Kesler,Anaheim,0,0,0,0,0,0,0,0,73,72,0,0,0,0
Joakim Lindstrom,Anaheim,0,0,0,0,0,0,0,0,69,66,0,0,0,0
Erik Johnson,Anaheim,0,0,0,0,0,0,0,0,77,73,0,0,0,0
Joel Ward,Anaheim,0,0,0,0,0,0,0,0,73,70,0,0,0,0
Phil Kessel,Anaheim,0,0,0,0,0,0,0,0,87,83,0,0,0,0
Brent Burns,Anaheim,0,0,0,0,0,0,0,0,91,89,0,0,0,0
Josh Ho-Sang,Anaheim,0,0,0,0,0,0,0,0,70,71,0,0,0,0
Jake Guentzel,Anaheim,0,0,0,0,0,0,0,0,78,82,0,0,0,0
Patrick Kane,Anaheim,0,0,0,0,0,0,0,0,89,88,0,0,0,0
Jamie McBain,Anaheim,0,0,0,0,0,0,0,0,69,69,0,0,0,0
Julius Honka,Anaheim,0,0,0,0,0,0,0,0,68,68,0,0,0,0
Kevin Fiala,Anaheim,0,0,0,0,0,0,0,0,75,77,0,0,0,0
Mikko Rantanen,Anaheim,0,0,0,0,0,0,0,0,84,86,0,0,0,0
