name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Brady Skjei,Anaheim,25,75,72,76,80,77,69,78,77,75,74,71,40,38
Cam Fowler,Anaheim,28,67,79,74,83,70,77,79,77,77,77,73,65,60
Brett Pesce,Anaheim,25,71,72,77,81,71,76,77,76,77,78,69,43,41
Daniel Girardi,Anaheim,35,76,70,78,79,72,74,70,74,71,78,71,86,77
Ilya Samsonov,Anaheim,23,79,85,82,74,69,70,83,78,85,1,0,27,26
Ivan Provorov,Anaheim,23,73,77,70,84,78,75,78,77,73,76,74,39,38
Jonathan Quick,Anaheim,34,85,88,84,90,82,85,90,80,88,0,0,54,54
Jeff Carter,Anaheim,35,69,74,75,81,71,69,74,77,79,71,78,88,84
Joel Eriksson-Ek,Anaheim,23,70,69,70,73,71,70,73,69,71,66,71,26,27
Eric Fehr,Anaheim,34,71,67,75,73,67,69,69,71,66,73,70,71,61
Patrick Marleau,Anaheim,40,69,78,67,77,85,76,78,76,77,68,75,99,99
Ryan Kesler,Anaheim,35,79,72,75,78,71,65,72,73,72,71,72,91,86
Joakim Lindstrom,Anaheim,36,62,75,57,70,64,69,75,69,66,60,64,36,35
Erik Johnson,Anaheim,32,78,75,78,83,69,69,75,77,73,76,74,71,69
Joel Ward,Anaheim,39,68,71,77,75,72,70,70,73,70,69,70,78,70
Phil Kessel,Anaheim,32,64,85,68,81,82,74,85,87,83,67,79,88,80
Brent Burns,Anaheim,35,76,76,85,85,83,69,78,91,89,77,82,92,82
Josh Ho-Sang,Anaheim,24,69,72,73,72,66,72,68,70,71,68,69,25,25
Jake Guentzel,Anaheim,25,73,77,71,80,70,70,77,78,82,69,81,37,35
Patrick Kane,Anaheim,31,65,88,68,85,81,73,88,89,88,69,85,82,75
Jamie McBain,Anaheim,32,64,74,72,69,63,77,74,69,69,70,69,36,35
Julius Honka,Anaheim,24,63,71,68,70,64,70,69,68,68,70,63,35,35
Kevin Fiala,Anaheim,23,67,72,66,76,69,70,72,75,77,70,73,41,35
Mikko Rantanen,Anaheim,23,68,77,79,82,72,69,76,84,86,70,79,40,38
Torrey Mitchell,Anaheim,35,69,74,66,72,72,66,74,69,63,74,67,73,66
Tucker Poolman,Anaheim,26,67,68,69,70,64,70,68,60,61,67,67,36,34
Cliff Watson,Anaheim,26,70,67,69,64,67,65,66,64,67,66,66,28,29
Philippe Myers,Anaheim,23,70,72,75,70,62,70,69,60,57,69,68,61,27
Martin Frk,Anaheim,26,65,72,69,69,65,72,67,72,69,65,67,34,33
Kaapo Kahkonen,Anaheim,23,75,80,75,64,66,70,78,74,74,1,0,25,25
Ryan Spooner,Anaheim,28,65,78,65,74,68,75,77,76,77,71,69,48,44
Phillip Lane,Anaheim,27,70,66,70,69,68,66,65,66,66,65,65,28,28
Rocco Grimaldi,Anaheim,27,66,72,66,69,62,72,72,71,72,68,66,34,31
Patrik Hersley,Anaheim,33,66,68,69,66,67,66,63,66,66,67,66,29,28
Ryan Hartman,Anaheim,25,75,72,74,74,75,61,77,74,72,70,72,40,38
Logan Nelson,Anaheim,26,69,67,70,70,68,69,67,62,64,62,66,29,30
Garret Haar,Anaheim,26,67,65,68,67,69,68,64,64,64,68,66,29,30
