name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Alexander Steen,Anaheim,34,70,76,73,78,70,77,77,78,78,72,74,70,70
Andrei Markov,Anaheim,40,65,70,72,75,67,74,70,76,75,74,71,78,77
Brady Skjei,Anaheim,24,71,72,76,78,76,72,78,78,76,74,71,29,29
Brent Burns,Anaheim,33,77,76,85,86,78,68,78,86,87,77,86,69,70
Cam Fowler,Anaheim,27,67,79,74,84,72,77,79,79,79,77,75,43,43
Curtis McElhinney,Anaheim,35,85,81,82,76,80,81,81,70,82,NA,NA,40,40
Daniel Girardi,Anaheim,34,76,70,78,78,83,80,70,73,75,78,68,58,56
Eric Fehr,Anaheim,33,70,67,75,74,58,75,69,72,72,72,72,46,47
Erik Johnson,Anaheim,30,72,76,78,79,59,70,75,76,75,76,74,51,50
Jamie McBain,Anaheim,30,67,74,72,74,69,80,74,70,70,70,69,36,35
Jarome Iginla,Anaheim,41,72,71,75,74,70,73,72,74,75,70,72,99,99
Jeff Carter,Anaheim,34,73,77,75,80,70,69,77,80,81,73,79,64,62
Joakim Lindstrom,Anaheim,35,59,75,57,74,75,76,75,71,73,60,72,36,35
Joel Ward,Anaheim,38,74,72,77,75,74,74,74,73,73,71,71,52,47
Jonathan Quick,Anaheim,33,85,90,84,90,82,85,90,80,90,NA,NA,54,54
Martin Hanzal,Anaheim,31,71,71,82,75,59,61,72,73,73,71,71,53,53
Patrick Kane,Anaheim,30,69,88,68,85,73,77,88,89,93,69,87,62,62
Patrick Marleau,Anaheim,39,70,80,75,80,99,82,80,77,77,71,76,92,92
Phil Kessel,Anaheim,31,67,85,68,82,84,79,85,84,86,67,79,67,59
Ryan Hartman,Anaheim,25,72,72,74,76,75,75,77,73,73,70,72,31,29
Ryan Spooner,Anaheim,27,68,78,65,75,68,74,77,76,76,71,72,34,30
Torrey Mitchell,Anaheim,34,73,74,66,75,69,70,74,70,72,74,70,45,43
