name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
A.J. Greer,Islanders,22,68,69,74,71,61,61,69,69,68,68,60,31,30
Aaron Ekblad,Carolina,23,74,75,76,80,76,65,76,77,76,79,79,48,51
Adam Erne,Edmonton,23,66,71,75,75,74,74,72,69,70,68,69,33,31
Adam Gaudette,Calgary,22,67,70,70,73,73,71,72,67,71,69,69,30,30
Adam Henrique,Nashville,29,68,77,71,78,75,79,77,77,77,74,75,63,57
Adam Larsson,Buffalo,26,74,74,77,78,66,63,74,75,75,79,66,57,57
Adam Lowry,Edmonton,25,75,71,75,75,72,75,73,72,73,74,72,47,44
Adam McQuaid,Columbus,32,79,68,79,75,72,50,70,69,70,77,51,61,55
Adam Pelech,Pittsburgh,24,68,71,74,76,75,74,72,70,71,73,68,38,36
Adrian Kempe,Winnipeg,22,70,75,71,76,70,64,74,75,74,69,73,36,34
Alan Quine,Detroit,25,68,71,70,70,69,70,70,71,70,67,70,36,33
Alec Martinez,Winnipeg,31,72,74,76,78,71,76,74,75,75,76,74,63,57
Aleksander Barkov,Edmonton,23,72,78,78,84,72,79,77,83,80,77,79,50,57
Ales Hemsky,Detroit,35,58,74,65,74,58,80,73,70,70,65,69,87,76
Alex Broadhurst,Philly,25,69,65,69,66,66,67,65,66,67,65,65,30,30
Alex Chiasson,Edmonton,28,73,72,76,76,75,70,73,73,73,69,74,54,50
Alex DeBrincat,Vancouver,21,64,77,63,78,72,70,77,76,77,67,79,34,33
Alex Galchenyuk,Washington,24,71,78,74,78,72,74,77,78,78,69,75,56,52
Alex Goligoski,Montreal,33,70,77,68,79,80,73,78,76,77,75,71,77,74
Alex Killorn,Islanders,29,73,73,74,78,73,68,73,78,76,72,73,57,53
Alex Pietrangelo,Washington,29,74,77,79,84,79,77,77,84,80,80,74,70,73
Alex Tuch,Tampa Bay,22,70,72,77,76,70,71,72,76,76,69,74,35,33
Alex Wennberg,Winnipeg,24,73,75,73,77,73,74,75,78,76,68,72,47,44
Alexander Burmistrov,Nashville,27,68,76,67,74,74,71,76,72,73,68,71,52,48
Alexander Edler,LosAngeles,32,74,74,78,80,67,67,74,78,77,76,71,80,76
Alexander Ovechkin,Nashville,33,80,86,80,87,88,72,86,80,85,64,91,94,85
Alexander Petrovic,LosAngeles,26,78,70,78,76,65,50,70,72,72,75,65,46,41
Alexander Radulov,Carolina,32,73,81,75,80,80,60,81,81,81,69,78,50,52
Alexander Steen,Edmonton,34,70,76,73,78,70,77,77,78,78,72,74,88,79
Alexei Emelin,Buffalo,32,78,73,76,76,66,64,73,71,70,75,63,59,55
Anders Bjork,Pittsburgh,22,72,66,68,73,60,66,68,70,68,67,68,31,30
Anders Lee,Pittsburgh,28,73,78,79,78,79,66,76,77,78,69,82,52,58
Andre Burakovsky,Carolina,24,71,75,73,75,72,76,75,75,75,67,73,45,43
Andreas Athanasiou,Florida,24,68,84,72,77,74,72,84,74,75,68,75,40,38
Andreas Borgman,New Jersey,23,70,68,72,73,67,65,69,68,68,71,65,32,31
Andreas Englund,Buffalo,23,70,69,69,74,72,64,70,67,68,67,62,30,30
Andreas Martinsen,Colorado,28,74,70,75,73,71,71,73,71,72,67,70,38,36
Andrej Sekera,Florida,32,69,76,74,76,70,75,75,73,73,75,69,75,67
Andrej Sustr,LosAngeles,28,70,67,77,74,72,72,72,72,72,74,64,51,47
Andrew Cogliano,Carolina,31,67,77,66,76,85,74,77,74,74,70,71,85,77
Andrew Copp,Buffalo,24,70,70,73,76,75,74,76,73,73,70,70,44,41
