name,teamName,jersey,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,ht,wt
Brady Skjei,Anaheim,0,27,75,72,76,79,76,69,78,73,73,79,71,54,52,,
David Krejci,Anaheim,49,35,67,73,70,78,72,72,74,83,85,70,72,93,88,,
Brett Pesce,Anaheim,13,26,68,72,77,81,71,75,77,75,77,83,70,55,53,,
Wayne Simmonds,Anaheim,32,32,78,66,76,75,67,59,66,68,69,68,71,92,87,,
Ilya Samsonov,Anaheim,3,25,84,87,83,78,75,79,83,78,81,0,0,33,33,,
Ivan Provorov,Anaheim,14,24,71,77,77,85,83,74,78,75,78,82,75,51,49,,
Ben Bishop,Anaheim,30,35,90,88,92,84,78,80,88,87,90,0,0,69,69,,
Ryan O'Reilly,Anaheim,61,30,69,76,80,83,85,79,73,82,83,79,79,85,81,,
Joel Eriksson-Ek,Anaheim,15,25,73,74,75,77,67,70,73,73,72,75,75,45,43,,
Eric Fehr,Anaheim,57,35,69,66,75,72,68,69,67,68,64,75,68,75,73,,
Tom Kuhnhackl,Anaheim,54,29,71,67,72,73,62,70,70,68,67,68,68,48,46,,
Troy Brouwer,Anaheim,40,35,76,67,73,73,64,66,66,65,62,68,69,88,83,,
Erik Johnson,Anaheim,7,33,75,74,77,79,65,69,75,73,74,79,66,79,76,,
Tyler Pitlick,Anaheim,68,29,77,72,72,76,65,71,71,69,67,71,71,52,50,,
Brent Burns,Anaheim,8,36,73,75,83,85,84,69,77,81,78,78,75,95,90,,
Josh Ho-Sang,Anaheim,17,26,69,72,73,72,66,72,68,70,71,68,69,25,25,,
Jake Guentzel,Anaheim,18,26,70,76,70,82,66,70,76,81,84,68,83,49,47,,
Patrick Kane,Anaheim,88,32,66,87,68,85,83,73,87,89,85,64,79,92,87,,
Jared Spurgeon,Anaheim,47,31,70,83,63,81,76,79,83,75,76,78,76,78,75,,
Julius Honka,Anaheim,27,25,65,71,68,74,61,70,69,73,70,71,62,35,33,,
Kevin Fiala,Anaheim,28,24,69,76,71,78,74,68,75,78,80,68,79,49,47,,
Mikko Rantanen,Anaheim,41,24,70,76,79,81,65,69,76,83,86,71,87,49,47,,
John Marino,Anaheim,2,24,71,74,69,79,67,75,75,74,76,74,70,37,35,,
Brandon Dubinsky,Anaheim,38,35,75,71,74,74,65,62,71,69,68,70,68,82,79,,
Philippe Myers,Anaheim,31,24,73,72,75,77,64,69,69,72,72,72,67,37,35,,
Kaapo Kahkonen,Anaheim,33,25,81,83,83,77,75,73,81,80,82,0,0,32,32,,
Ryan Spooner,Anaheim,51,29,65,76,65,73,65,75,74,69,69,62,65,53,51,,
Ryan Hartman,Anaheim,20,26,74,70,74,75,79,61,74,72,70,70,70,53,51,,
Clayton Keller,Anaheim,35,22,65,78,67,78,84,72,77,77,78,67,73,44,42,,
Evgeni Malkin,Anaheim,36,34,74,74,78,80,65,64,74,86,85,67,77,85,81,,
Teuvo Teravainen,Anaheim,22,26,66,78,70,79,65,78,80,82,84,74,73,57,55,,
Luke Kunin,Anaheim,37,23,73,71,73,77,65,66,71,72,69,67,73,38,36,,
Casey Mittelstadt,Anaheim,39,22,64,70,73,76,65,76,70,72,70,63,71,36,34,,
Erik Cernak,Winnipeg,2,24,78,71,77,78,66,65,72,74,73,79,71,40,38,,
Jacob Larsson,Winnipeg,15,24,66,71,73,77,65,74,72,73,70,71,64,39,37,,
