name,teamName,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld
Adam Hall,Anaheim,37,64,65,70,67,67,70,64,65,65,58,62,60,60
Alex Tanguay,Anaheim,38,64,73,67,76,68,74,73,78,74,70,70,85,85
Andrei Markov,Anaheim,39,65,76,72,82,67,74,76,83,79,77,73,78,77
Brad Winchester,Anaheim,36,69,60,71,63,62,65,60,62,60,62,61,45,45
Brady Skjei,Anaheim,23,68,72,75,78,76,72,78,78,76,74,71,29,29
Brent Burns,Anaheim,32,77,76,85,86,78,68,78,86,87,77,86,68,70
Cam Fowler,Anaheim,26,67,79,74,84,72,77,79,80,80,77,75,43,43
Chad LaRose,Anaheim,35,69,69,63,70,65,69,69,67,68,67,68,49,49
Chris Butler,Anaheim,31,65,70,69,70,63,69,70,70,70,70,60,37,37
Claude Giroux,Anaheim,30,77,82,71,86,76,70,82,85,83,73,78,53,53
Curtis McElhinney,Anaheim,34,81,81,80,76,80,81,80,70,80,0,0,40,40
Erik Johnson,Anaheim,29,72,76,78,79,59,70,75,76,75,76,74,50,50
Jeff Carter,Anaheim,33,73,80,75,80,70,70,80,83,81,73,79,64,62
Joe Vitale,Anaheim,32,76,70,70,70,60,70,70,70,70,68,65,34,34
Mark Streit,Anaheim,40,70,70,65,80,70,70,75,79,79,70,70,64,61
Martin Hanzal,Anaheim,30,71,71,82,75,59,61,72,77,74,71,74,53,53
Matt Beleskey,Anaheim,29,78,72,73,76,71,60,72,72,71,65,71,39,39
Matt Halischuk,Anaheim,29,66,74,66,72,67,80,72,70,71,70,68,33,32
Patrick Kane,Anaheim,29,70,88,68,85,73,77,88,90,93,69,89,60,60
Patrick Marleau,Anaheim,38,70,80,76,82,99,82,80,78,77,72,77,92,92
Phil Kessel,Anaheim,30,68,86,68,82,84,79,86,82,84,67,79,67,59
Ryan Hartman,Anaheim,24,68,72,74,75,75,75,77,72,72,70,72,31,29
Ryan Spooner,Anaheim,26,68,78,65,75,70,74,77,77,76,71,73,34,30
Semyon Varlamov,Anaheim,29,80,87,80,80,76,65,87,76,87,0,0,49,49
Tomas Kopecky,Anaheim,36,70,70,70,70,66,66,70,70,70,66,66,52,52
Torrey Mitchell,Anaheim,33,73,75,66,76,69,70,74,70,72,74,70,45,43
Brett Pesce,Anaheim,23,68,72,74,77,77,75,77,72,72,73,72,31,30
Cliff Watson,Anaheim,24,68,67,69,65,68,66,65,65,66,66,64,28,28
Danny Syvret,Anaheim,32,62,72,67,71,74,77,70,70,70,70,65,35,35
David Honzik,Anaheim,24,74,73,70,72,74,74,74,75,75,0,0,28,28
Garret Haar,Anaheim,24,68,66,68,65,68,66,64,64,66,66,64,28,28
Henrik Samuelsson,Anaheim,24,64,66,68,73,73,73,71,64,65,64,65,27,27
Jake Guentzel,Anaheim,23,68,74,73,76,75,73,77,71,71,69,74,31,28
Joey MacDonald,Anaheim,38,76,76,76,76,76,76,76,73,77,0,0,44,44
Kurtis Gabriel,Anaheim,24,74,69,72,69,68,60,70,69,69,68,69,28,27
Logan Nelson,Anaheim,24,69,66,68,68,68,70,65,64,65,63,66,28,28
Martin Frk,Anaheim,24,71,72,69,70,70,70,67,70,71,65,70,27,27
Maxim Goncharov,Anaheim,28,69,67,72,71,70,61,64,64,66,67,63,28,28
Patrik Hersley,Anaheim,31,68,66,71,66,67,68,64,66,65,67,66,28,28
Phillip Lane,Anaheim,25,70,66,70,69,68,66,65,66,66,65,65,28,28
Rocco Grimaldi,Anaheim,25,69,71,64,69,70,72,71,69,70,67,69,29,29
Stefan Matteau,Anaheim,23,65,67,70,74,73,68,75,69,69,66,69,28,27
Teuvo Teravainen,Anaheim,23,67,75,73,76,77,76,78,73,73,70,74,32,29
Tucker Poolman,Anaheim,24,68,66,67,66,67,68,64,66,65,67,65,28,28
Tyler Lewington,Anaheim,23,65,68,71,74,73,70,70,64,66,66,65,27,27
Valeri Vasiliev,Anaheim,23,64,67,69,73,73,70,70,64,66,66,62,27,27
Alec Martinez,Winnipeg,30,72,74,76,78,71,76,74,77,77,76,74,40,40
Alex Wennberg,Winnipeg,23,73,75,73,78,73,74,75,78,76,68,75,30,30
Ben Lovejoy,Winnipeg,33,75,72,76,77,66,72,72,71,74,78,68,36,36
Ben Thomson,Winnipeg,25,75,67,75,68,70,60,64,64,66,64,66,25,25
Boone Jenner,Winnipeg,24,71,72,73,74,77,70,73,74,75,72,77,31,31
Braydon Coburn,Winnipeg,32,74,72,82,77,75,65,72,73,73,76,66,55,55
Danny Kristo,Winnipeg,27,63,73,60,70,65,71,73,70,70,60,69,25,25
Emerson Etem,Winnipeg,25,68,74,72,74,72,77,74,70,70,68,71,29,29
Gustav Nyquist,Winnipeg,28,72,80,68,78,74,77,80,78,77,70,76,34,34
Jack Johnson,Winnipeg,31,74,78,74,81,80,72,78,75,76,72,72,55,55
Jarred Tinordi,Winnipeg,25,70,67,76,72,71,68,70,68,70,70,68,27,27
Jordie Benn,Winnipeg,30,71,73,71,75,70,72,73,73,72,75,66,30,30
Kevan Miller,Winnipeg,30,74,69,75,75,71,65,69,72,72,76,67,33,33
Michal Neuvirth,Winnipeg,29,82,85,77,77,73,77,85,75,85,0,0,37,37
Nick Bonino,Winnipeg,29,73,75,72,77,71,77,75,76,75,72,73,41,41
P-A Parenteau,Winnipeg,34,72,73,68,75,71,65,71,74,75,66,71,42,43
Patrice Cormier,Winnipeg,27,75,69,75,72,70,54,69,66,69,70,67,28,28
Patrick Kaleta,Winnipeg,31,80,71,76,72,52,44,71,65,70,69,63,41,41
Phil Oreskovic,Winnipeg,31,73,58,77,66,65,40,58,64,61,63,58,26,26
Ryan Miller,Winnipeg,37,84,85,75,79,72,81,84,81,84,0,0,78,78
Sam Reinhart,Winnipeg,22,65,72,70,76,75,76,78,71,70,70,72,29,27
Scott Laughton,Winnipeg,23,72,72,72,72,72,72,72,72,71,71,71,30,26
Scottie Upshall,Winnipeg,34,74,73,69,73,50,63,73,70,70,67,71,55,55
Trevor Van Riemsdyk,Winnipeg,26,70,72,73,75,75,73,72,71,71,74,70,29,29
Alex Gudbranson,Winnipeg,23,68,65,68,67,66,69,64,65,65,66,64,29,29
Andrew MacWilliam,Winnipeg,27,65,66,69,72,73,68,70,64,66,66,63,28,27
Ben Betker,Winnipeg,23,66,66,71,73,70,69,69,63,64,64,63,27,27
Boyd Gordon,Winnipeg,34,70,71,71,74,74,76,71,70,70,69,69,60,52
Brett Sutter,Winnipeg,30,77,71,71,72,68,55,71,69,69,67,67,32,32
Eddie Lack,Winnipeg,30,79,82,81,78,76,80,82,74,82,0,0,35,33
Frazer McLaren,Winnipeg,30,80,66,85,69,75,40,65,66,68,66,62,35,36
Jacob De La Rose,Winnipeg,22,65,70,70,74,74,71,76,69,69,66,69,28,26
Jaroslav Janus,Winnipeg,28,76,76,73,74,72,74,76,68,77,0,0,29,29
Louis-Marc Aubry,Winnipeg,26,63,67,68,73,73,70,70,65,66,64,66,27,27
Reto Berra,Winnipeg,31,80,80,79,75,72,74,81,77,80,0,0,35,35
Sam Perhonen,Winnipeg,24,69,73,70,74,75,78,80,75,75,0,0,26,26
Shane O'Brien,Winnipeg,34,75,64,76,71,69,30,66,68,68,68,57,53,55
Stefan Legein,Winnipeg,29,64,66,62,67,64,62,67,68,68,64,65,28,28
Tyrell Goulbourne,Winnipeg,24,70,66,70,70,68,70,66,66,66,66,66,26,26
Ville Leino,Winnipeg,34,64,67,68,68,60,74,69,70,68,65,66,44,44
Ben Chiarot,Boston,26,73,71,76,75,66,67,71,72,71,74,66,28,28
Ben Smith,Boston,29,67,74,71,75,71,81,74,72,71,69,70,32,30
Blake Wheeler,Boston,31,73,77,83,83,84,69,76,86,81,71,77,52,52
Brandon Mashinter,Boston,29,70,66,73,72,69,67,67,70,70,68,66,27,27
Brendan Gallagher,Boston,25,69,78,62,77,71,68,77,78,77,73,77,36,31
Brent Seabrook,Boston,32,73,77,82,82,78,77,77,80,77,81,75,68,68
Brian Strait,Boston,30,70,69,70,72,69,66,70,71,70,72,65,29,29
Byron Froese,Boston,26,71,71,71,71,71,71,71,71,71,69,68,26,26
Carter Hutton,Boston,32,83,83,80,80,77,82,83,76,83,0,0,34,28
David Backes,Boston,33,79,74,80,81,73,56,73,77,77,77,74,64,68
Evgeny Medvedev,Boston,35,70,66,70,70,70,70,69,70,70,70,68,34,30
Jakub Voracek,Boston,28,70,78,77,81,77,72,78,85,82,70,76,55,55
Jay Beagle,Boston,32,74,70,78,76,69,74,72,72,72,73,72,34,33
Jeremy Langlois,Boston,27,68,67,69,68,68,68,66,66,67,67,67,26,26
Marc-Andre Fleury,Boston,33,81,89,82,88,72,85,89,79,88,0,0,73,71
Matt Bartkowski,Boston,29,69,73,70,76,70,72,74,74,71,76,70,32,30
Max Pacioretty,Boston,29,71,80,76,80,73,74,81,80,79,71,81,44,43
Nate Schmidt,Boston,26,70,73,73,75,73,74,73,73,73,74,68,33,33
Oliver Lauridsen,Boston,28,70,65,71,67,68,64,66,67,67,68,67,26,26
P.E Bellemare,Boston,32,73,72,72,75,70,70,71,72,71,69,71,31,28
Sam Gagner,Boston,28,65,78,65,76,70,72,78,74,76,65,72,52,45
Sean Couturier,Boston,25,74,75,74,77,73,72,74,75,76,71,74,39,39
Tanner Kero,Boston,25,68,69,69,69,69,68,71,70,69,69,65,26,26
Zbynek Michalek,Boston,35,67,71,71,75,60,77,71,71,71,75,65,66,63
Anton Rodin,Boston,27,58,74,62,71,68,72,75,71,70,58,66,26,26
Cal Heeter,Boston,29,76,75,75,75,72,78,75,74,74,0,0,30,30
Carlo Colaiacovo,Boston,35,67,74,70,73,25,70,74,71,70,71,64,47,47
Kent Patterson,Boston,28,72,73,70,69,68,73,75,70,74,0,0,27,27
Kevin Goumas,Boston,26,65,69,63,63,64,66,68,66,66,67,66,28,28
Kyle Flanagan,Boston,29,66,66,63,67,67,71,68,67,66,66,64,28,28
Mark Pysyk,Boston,26,69,72,72,74,72,74,73,74,75,73,69,31,30
Michael Neal,Boston,28,67,60,73,67,69,67,60,62,62,59,58,27,27
Michal Jordan,Boston,27,70,66,69,68,68,68,68,66,67,69,64,29,28
Nic Dowd,Boston,27,70,71,73,74,72,70,71,71,71,67,69,31,30
Nick Cousins,Boston,24,70,72,70,74,72,72,73,73,73,69,70,31,30
Rob Zepp,Boston,36,75,77,76,76,76,76,77,78,79,0,0,26,28
Will Acton,Boston,30,67,67,69,70,69,68,69,69,67,66,67,30,28
Alexei Emelin,Buffalo,31,82,76,79,78,66,64,76,73,71,76,63,36,34
Andrew Hammond,Buffalo,29,80,82,80,76,79,79,81,77,82,0,0,34,34
Brayden McNabb,Buffalo,27,76,70,78,76,70,67,70,74,74,76,67,37,34
Chris Neil,Buffalo,38,85,70,79,76,73,25,69,69,69,70,67,71,81
Chris Vande Velde,Buffalo,30,71,73,70,75,71,68,72,72,71,66,71,30,30
Drew Doughty,Buffalo,28,78,83,73,87,78,67,83,85,85,80,78,58,61
Esa Lindell,Buffalo,23,68,73,72,76,76,69,76,71,70,74,68,29,27
Gabriel Bourque,Buffalo,27,70,76,69,75,76,82,76,71,71,68,71,36,32
Jack Connolly,Buffalo,28,65,74,62,73,67,70,74,73,71,62,69,27,27
Jacob Markstrom,Buffalo,28,82,82,84,79,77,81,83,73,81,0,0,33,29
Joe Colborne,Buffalo,28,68,70,78,74,70,71,70,72,73,68,71,34,33
Keith Aulie,Buffalo,28,65,67,78,73,68,66,66,71,70,74,59,31,29
Lars Eller,Buffalo,28,73,75,74,78,73,64,76,76,74,72,73,40,38
Luke Schenn,Buffalo,28,75,72,78,76,74,62,72,72,72,74,64,46,46
Magnus Paajarvi,Buffalo,26,68,78,70,75,70,78,79,72,73,66,71,34,34
Mattias Janmark-Nylen,Buffalo,25,68,75,70,74,69,70,74,72,73,69,70,29,28
Nikita Zadorov,Buffalo,22,72,69,75,70,70,65,70,70,71,72,68,29,27
Taylor Beck,Buffalo,26,67,68,75,75,70,71,70,70,70,67,70,29,27
Tomas Jurco,Buffalo,25,72,70,71,74,71,74,71,72,71,71,70,32,30
Travis Moen,Buffalo,35,70,70,70,70,68,64,68,70,70,70,67,63,63
Zack Kassian,Buffalo,27,77,71,79,75,73,41,71,72,73,66,72,34,31
Adam Gilmour,Buffalo,24,64,71,64,74,70,64,71,65,66,64,66,27,27
Andreas Englund,Buffalo,22,70,69,68,74,72,64,70,67,68,67,62,28,27
Andrew Copp,Buffalo,23,69,69,73,76,75,74,76,72,72,68,69,31,27
Blake Parlett,Buffalo,28,64,65,72,72,70,60,65,65,65,68,60,28,28
Carl Dahlstrom,Buffalo,23,67,70,66,73,72,67,71,67,68,67,62,27,27
Darnell Nurse,Buffalo,23,68,76,75,77,75,74,78,74,73,73,68,31,29
Dylan McIlrath,Buffalo,25,73,68,76,71,71,57,68,68,68,69,65,29,28
Emil Pettersson,Buffalo,24,63,73,65,74,72,66,72,68,67,64,66,27,27
Haydn Fleury,Buffalo,21,67,73,68,75,75,69,72,69,69,67,66,27,27
Hunter Shinkaruk,Buffalo,23,65,74,66,75,73,65,73,73,71,65,66,30,28
Jake Virtanen,Buffalo,21,66,72,66,74,74,63,73,74,73,64,67,30,28
Jordan Schroeder,Buffalo,27,67,75,68,73,73,75,74,72,72,70,71,30,29
Malcolm Subban,Buffalo,24,77,78,76,75,76,78,77,78,78,0,0,28,28
Niklas Svedberg,Buffalo,28,78,79,79,75,74,75,79,74,79,0,0,30,30
Peter Andersson,Buffalo,26,70,66,71,69,67,65,67,66,65,65,64,28,28
Scott Harrington,Buffalo,24,68,71,73,73,70,70,72,69,70,70,67,29,28
Spencer Martin,Buffalo,22,77,77,77,76,76,78,78,75,76,0,0,27,27
Stefan Noesen,Buffalo,24,72,69,72,70,68,66,70,73,72,69,69,29,28
Vitek Vanecek,Buffalo,22,77,76,78,76,75,74,75,75,75,0,0,27,27
Zack Phillips,Buffalo,25,68,67,65,69,68,68,66,66,65,64,66,27,26
Andrew Engelage,Calgary,29,70,70,80,69,65,70,70,60,70,0,0,26,26
Chris Lawrence,Calgary,31,64,64,73,68,65,55,64,65,65,50,60,26,26
Christian Engstrand,Calgary,29,70,74,68,72,65,65,72,62,71,0,0,26,26
Colin Shields,Calgary,38,60,60,68,65,65,70,55,58,59,52,64,28,27
Dan Spang,Calgary,34,58,59,62,62,63,63,59,55,59,60,45,26,25
Evgeny Kurbatov,Calgary,29,60,63,63,64,64,66,63,61,60,62,51,26,26
Janis Sprukts,Calgary,36,60,60,60,64,64,63,61,60,60,60,60,26,26
Jean-Michel Daoust,Calgary,34,57,66,52,65,65,50,66,69,69,55,66,26,26
Kristian Kudroc,Calgary,36,76,50,76,60,68,48,50,58,54,60,55,30,30
Kristian Nakyva,Calgary,27,69,65,69,65,50,50,50,50,50,50,50,50,50
Matt Foy,Calgary,34,63,54,69,60,62,47,57,61,61,54,62,25,25
Matt Watkins,Calgary,31,50,72,50,55,60,69,72,55,54,49,50,26,26
Michael Duco,Calgary,30,65,65,56,67,66,45,65,65,65,55,65,28,28
Michael Latta,Calgary,26,75,69,72,73,69,54,70,71,70,70,70,27,27
Micki Dupont,Calgary,37,53,71,55,68,70,68,63,70,62,53,62,35,35
Nick Petersen,Calgary,28,64,63,70,67,63,61,63,62,60,56,60,25,25
Nico Aaltonen,Calgary,29,56,63,58,66,66,68,65,65,62,58,58,25,25
Patrick Coulombe,Calgary,32,52,66,43,65,65,75,66,68,60,63,46,25,25
Radoslav Illo,Calgary,28,58,66,63,67,65,67,66,62,60,55,58,25,25
Richard Jackman,Calgary,39,62,61,64,62,64,70,61,62,61,61,61,45,45
Shawn Weller,Calgary,31,65,66,65,62,67,60,67,54,55,59,59,25,25
Steve Moses,Calgary,28,65,71,70,71,70,70,71,70,70,70,73,28,26
Teemu Elomo,Calgary,39,58,70,58,60,45,66,65,64,61,45,61,25,25
Trevor Ludwig,Calgary,32,62,70,57,54,57,65,70,50,54,58,49,25,25
Vojtech Polak,Calgary,32,58,65,62,67,65,50,65,63,65,58,60,25,25
Alex Lyon,Calgary,25,75,75,73,74,74,74,75,75,75,0,0,27,27
Andrew Poturalski,Calgary,24,70,69,69,68,69,68,66,66,68,64,67,27,27
Bobby Butler,Calgary,30,67,72,68,73,71,76,73,71,71,66,68,30,30
CJ Motte,Calgary,26,72,75,72,74,76,76,75,76,77,0,0,27,27
Casey Nelson,Calgary,25,68,70,70,69,70,70,68,69,69,68,63,28,28
Chris Wagner,Calgary,26,69,71,75,76,72,72,72,71,72,67,70,29,29
Craig Adams,Calgary,40,71,71,69,73,75,65,71,68,70,70,64,82,82
Daniel Pribyl,Calgary,25,65,67,70,74,73,76,72,66,65,65,66,27,27
Drew Shore,Calgary,27,68,72,72,73,69,72,72,72,72,68,69,29,28
Dustin Tokarski,Calgary,28,80,79,78,74,74,77,80,73,81,0,0,32,32
Dylan Demelo,Calgary,24,69,70,73,75,67,71,72,71,71,72,68,32,31
Jerry D'Amigo,Calgary,26,67,74,68,72,70,73,74,68,68,66,67,28,28
Johan Larsson,Calgary,25,69,72,70,75,69,73,72,73,73,70,72,32,32
Mike Lundin,Calgary,33,62,72,72,73,65,75,71,70,69,72,55,37,37
Mike Vecchione,Calgary,24,67,71,68,68,69,70,69,68,68,67,69,27,27
Nick Lappin,Calgary,25,68,71,71,74,70,73,72,71,71,66,70,30,29
Ryan Carpenter,Calgary,27,68,72,70,72,69,72,72,72,69,68,70,28,28
Troy Stecher,Calgary,23,68,76,70,75,72,72,76,75,75,70,70,29,29
Viktor Svedberg,Calgary,26,71,69,74,74,68,67,69,68,68,69,64,28,28
William Karlsson,Calgary,25,72,75,72,76,73,75,75,74,74,73,70,34,31
Aaron Ekblad,Carolina,22,74,75,76,77,73,68,76,75,76,79,76,35,35
Alexei Mikhnov,Carolina,35,50,60,74,70,72,69,60,65,68,56,62,26,38
Andre Burakovsky,Carolina,23,71,75,73,75,72,76,75,75,75,67,73,30,30
Austin Czarnik,Carolina,25,69,73,69,73,69,69,74,72,71,69,71,27,27
Blake Comeau,Carolina,31,74,74,74,77,72,67,74,76,73,65,72,44,44
Bo Horvat,Carolina,22,73,75,71,77,71,71,73,75,76,70,75,34,34
Brenden Dillon,Carolina,27,76,70,78,78,74,60,70,71,71,77,69,35,35
Carl Hagelin,Carolina,29,68,85,66,77,65,70,83,77,74,70,73,37,37
Colton Parayko,Carolina,24,73,71,79,77,73,71,73,76,76,77,70,33,33
David Elsner,Carolina,25,58,61,64,67,67,67,61,58,58,50,59,25,25
David Van Der Gulik,Carolina,34,62,62,60,66,66,60,62,62,62,60,60,27,27
Dylan Larkin,Carolina,21,68,78,70,77,75,75,78,75,76,70,73,36,30
Frantisek Lukes,Carolina,35,54,77,52,68,60,66,77,64,64,58,63,26,26
Fredrik Pettersson,Carolina,30,62,70,64,69,69,66,70,63,62,57,66,26,26
Jack Eichel,Carolina,21,72,74,74,80,72,75,74,79,78,64,76,29,29
Jaroslav Halak,Carolina,32,83,83,76,80,75,81,83,79,83,0,0,51,51
Jonathan Ericsson,Carolina,33,72,71,80,77,65,72,72,74,72,76,65,48,42
Kyle Klubertanz,Carolina,32,61,64,61,67,67,60,64,63,58,67,48,25,25
Marian Gaborik,Carolina,35,62,80,69,76,50,80,82,76,77,65,74,82,82
Miroslav Blatak,Carolina,35,50,62,50,60,65,70,64,55,50,63,55,25,25
Philippe Gogulla,Carolina,30,64,65,67,67,66,68,65,65,65,55,63,25,25
Quinton Howden,Carolina,26,69,68,70,73,68,71,69,69,72,71,69,28,26
Ryan Pulock,Carolina,23,68,71,72,75,75,70,71,68,68,69,64,28,28
Theo Peckam,Carolina,30,78,62,79,65,65,34,62,62,64,64,55,32,32
Troy Brouwer,Carolina,32,72,70,76,79,78,61,71,71,73,72,73,52,52
Tyler Plante,Carolina,30,70,70,76,70,70,58,70,65,70,0,0,25,25
Austin Carroll,Carolina,23,64,66,68,74,73,74,71,64,65,64,66,25,25
Brian Flynn,Carolina,29,67,72,68,75,70,79,72,72,73,64,72,30,29
Colin Miller,Carolina,25,73,71,70,75,69,69,71,72,73,73,71,31,31
Derek Ryan,Carolina,31,66,73,66,73,68,72,74,72,72,65,69,27,27
Dominik Simon,Carolina,23,63,67,69,73,73,70,70,64,66,64,66,25,25
Elvis Merzlikins,Carolina,23,69,74,70,74,75,78,81,75,75,0,0,25,25
Frank Vatrano,Carolina,23,67,70,71,76,73,70,76,72,73,68,73,30,28
Garrett Wilson,Carolina,26,70,67,71,70,65,65,67,68,69,66,66,27,27
Jonny Brodzinski,Carolina,24,69,67,69,67,67,68,67,67,68,66,67,25,25
Liam Coughlin,Carolina,23,63,67,69,73,73,70,70,64,66,64,66,25,25
Liam O'Brien,Carolina,23,73,67,71,74,71,70,69,68,70,70,70,31,27
Luke Witkowski,Carolina,27,77,71,78,73,70,51,69,65,68,69,64,30,28
Mackenzie MacEachern,Carolina,23,63,67,69,73,73,70,70,64,66,64,66,25,25
Madison Bowey,Carolina,22,68,66,71,69,65,58,66,64,67,66,62,28,28
Martin Cibak,Carolina,37,63,60,50,63,61,51,60,65,60,60,60,30,30
Martin Reway,Carolina,23,64,66,68,73,73,74,71,64,65,64,66,25,25
Matt Lorito,Carolina,27,64,68,59,71,62,65,68,67,66,63,63,25,25
Matthew Nieto,Carolina,25,67,77,67,76,72,74,76,74,74,68,72,33,28
Melker Karlsson,Carolina,27,70,72,70,75,70,74,72,72,72,70,72,30,27
Michael Ferland,Carolina,25,73,71,76,76,73,67,71,71,71,68,70,30,29
Ryan Murphy,Carolina,24,66,76,66,74,70,74,75,73,71,73,66,29,28
Seth Griffith,Carolina,25,68,74,66,74,72,73,72,71,71,69,71,32,29
Ty Rattie,Carolina,25,67,71,69,72,70,70,71,70,70,67,71,28,27
Ville Husso,Carolina,23,69,74,70,73,75,78,81,75,75,0,0,25,25
Adam Larsson,Chicago,25,74,74,77,79,66,63,74,75,75,79,66,36,36
Alexandre Burrows,Chicago,36,76,77,72,76,71,63,75,72,73,70,71,64,64
Bobby Ryan,Chicago,30,68,77,76,79,77,72,77,79,80,69,74,52,49
Brad Stuart,Chicago,38,70,70,74,73,55,70,70,70,70,72,64,86,86
Brandon Dubinsky,Chicago,31,79,74,74,79,63,50,74,79,75,73,74,54,55
Christian Folin,Chicago,27,71,68,76,74,70,70,71,72,72,74,67,28,28
Jason Demers,Chicago,29,76,75,72,78,70,60,75,76,76,75,73,42,42
Jonas Hiller,Chicago,35,80,82,81,76,65,82,82,76,81,0,0,51,51
Kristopher Letang,Chicago,30,70,80,69,83,60,70,80,84,83,74,75,62,59
Manny Malhotra,Chicago,37,65,69,69,69,62,81,69,69,69,69,67,87,87
Marian Hossa,Chicago,39,72,79,74,60,25,76,79,79,79,78,74,88,88
Mason Raymond,Chicago,32,64,80,66,75,70,70,80,70,73,66,70,48,47
Mike Hoffman,Chicago,28,68,82,71,79,73,77,81,79,78,68,79,36,36
Mikko Koivu,Chicago,34,71,75,76,79,72,73,75,80,79,78,72,67,74
Patrick Eaves,Chicago,33,74,75,65,60,25,74,75,72,72,73,76,50,50
Rene Bourque,Chicago,36,68,77,74,75,65,70,76,71,71,70,70,59,54
Roberto Luongo,Chicago,38,80,87,82,80,78,80,89,77,88,0,0,86,86
Ryan Ellis,Chicago,27,65,79,65,77,66,75,79,78,78,76,73,34,32
Ryan McDonagh,Chicago,28,74,77,78,83,73,71,77,78,78,82,72,50,55
Scott Hartnell,Chicago,35,80,73,77,78,80,41,72,77,74,72,75,87,87
Steven Stamkos,Chicago,28,74,85,70,86,77,73,85,88,86,72,89,53,57
Tyler Seguin,Chicago,26,74,82,75,83,76,80,82,86,85,71,88,40,46
Brandon Crombeen,Chicago,32,82,69,81,74,75,45,69,70,70,71,69,45,45
Brandon Prust,Chicago,33,80,70,75,74,72,32,71,70,70,70,68,48,48
Buddy Robinson,Chicago,26,70,66,73,69,70,68,67,68,68,68,68,28,28
Chris Wideman,Chicago,28,72,72,71,72,73,72,74,73,73,74,68,29,29
Christian Ehrhoff,Chicago,35,70,72,72,74,65,68,72,71,71,70,64,73,73
