name,teamName,jersey,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,ht,wt
A.J. Greer,Islanders,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Aaron Ekblad,Carolina,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,76,215
Adam Brooks,Winnipeg,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,71,180
Adam Clendening,Columbus,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,72,196
Adam Erne,Edmonton,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,73,212
Adam Gaudette,Calgary,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,73,170
Adam Henrique,Columbus,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,72,188
Adam Larsson,Buffalo,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,75,208
Adam Lowry,Dallas,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,77,210
Adam McQuaid,Columbus,55,34,0,0,0,0,0,0,0,0,0,0,0,0,0,76,210
Adam Pardy,Phoenix,66,36,0,0,0,0,0,0,0,0,0,0,0,0,0,76,227
Adam Pelech,Pittsburgh,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,75,218
Adrian Kempe,Winnipeg,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,74,201
Alec Martinez,Winnipeg,58,33,0,0,0,0,0,0,0,0,0,0,0,0,0,73,209
Aleksander Barkov,Edmonton,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,75,210
Aleksi Saarela,Minnesota,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,71,200
Ales Hemsky,Detroit,84,37,0,0,0,0,0,0,0,0,0,0,0,0,0,72,177
Alex Broadhurst,Philly,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,72,178
Alex Chiasson,Montreal,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,76,208
Alex DeBrincat,Vancouver,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,67,165
Alex Galchenyuk,Washington,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,73,207
Alex Goligoski,Montreal,67,35,0,0,0,0,0,0,0,0,0,0,0,0,0,71,185
Alex Iafallo,Ottawa,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,72,188
