Name
Mark Letestu
Marian Gaborik
Drew Shore
Marc Methot
Colin Greening
Shawn Matthias
Chris Lawrence
Patrick Eaves
Matt Hunwick
Duncan Siemens
Adam McQuaid
Mason Raymond
Nick Spaling
Austin Madaisky
Andrew Shaw
Ryan Miller
Mike Aviani
Emerson Etem
Clayton Stoner
Dan Paille
Stephen Johns
Beau Bennett
Jason Kasdorf
Matt Nickerson
Adam Pardy
Fabian Brunnstrom
Matt Watkins
Marc Cheverie
Michael Duco
Kirill Tulupov
Jared Staal
Cody Rosen
Matt O'Connor
Max Reinhart
Rob Schremp
Henrik Zetterberg
Benoit Pouliot
Carl Gunnarsson
Brandon Crombeen
Martin Hanzal
Maxim Lapierre
