"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"941","Connor McDavid","EDM","C","242","5280.85","112","212","140","72","324","81.82","767","14.60","93.19","1278","1013","925","447","36","90","60","30","30","0","0","123","210","286","101","344","105","1152","1481","43.75"
"596","Nikita Kucherov","T.B","R","236","4661.55","120","193","114","79","313","81.09","771","15.56","70.52","1510","1134","786","206","38","62","142","63","60","2","1","82","232","178","105","270","66","3","5","37.50"
"159","Sidney Crosby","PIT","C","236","4845.7","108","170","110","60","278","71.65","722","14.96","87.29","1171","956","793","389","27","90","106","43","41","0","2","61","213","135","240","247","106","2880","2629","52.28"
"280","Patrick Kane","CHI","R","245","5231.3","105","170","107","63","275","77.25","918","11.44","79.48","1604","1205","807","252","37","75","86","42","42","0","0","65","129","138","67","324","47","15","59","20.27"
"203","Brad Marchand","BOS","C, L","227","4445.8666666667","109","161","87","74","270","74.38","639","17.06","72.78","1146","890","692","301","52","64","240","94","85","4","5","95","244","186","134","311","79","108","159","40.45"
"126","Blake Wheeler","WPG","R","245","4990.6333333333","69","187","128","59","256","74.64","736","9.38","61.93","1207","976","611","224","23","68","157","74","71","3","0","61","132","115","275","285","170","240","304","44.12"
"856","Leon Draisaitl","EDM","C","242","4907.5833333333","104","148","98","50","252","73.47","598","17.39","73.32","1026","822","676","317","35","72","102","51","51","0","0","70","275","224","138","306","86","1825","1685","51.99"
"803","Nathan MacKinnon","COL","C","238","4919.8833333333","96","153","95","58","249","70.94","900","10.67","79.04","1520","1180","866","300","55","103","105","44","40","3","1","94","150","131","148","230","83","1771","2090","45.87"
"123","Alex Ovechkin","WSH","L","245","4852.4666666667","133","112","66","46","245","64.64","1006","13.22","95.37","1997","1482","894","275","53","115","122","61","61","0","0","62","187","101","578","185","91","4","10","28.57"
"219","Claude Giroux","PHI","C, R","246","4996.2333333333","70","175","93","82","245","68.25","621","11.27","50.38","1146","849","515","158","24","66","82","40","40","0","0","64","127","118","126","169","70","2289","1711","57.23"
"226","Phil Kessel","PIT","C, R","246","4477.45","84","160","97","63","244","73.05","705","11.91","62.77","1226","903","667","216","29","88","84","37","36","0","1","23","189","74","34","142","50","15","28","34.88"
